Time point: 261.0 | PatientsSeen: 1.0
Time point: 472.0 | PatientsSeen: 2.0
Time point: 681.0 | PatientsSeen: 3.0
Time point: 891.0 | PatientsSeen: 4.0
Time point: 1100.0 | PatientsSeen: 5.0
Time point: 1311.0 | PatientsSeen: 6.0
Time point: 1522.0 | PatientsSeen: 7.0
Time point: 1733.0 | PatientsSeen: 8.0
Time point: 1943.0 | PatientsSeen: 9.0
Time point: 2152.0 | PatientsSeen: 10.0
Time point: 2362.0 | PatientsSeen: 11.0
Time point: 2572.0 | PatientsSeen: 12.0
Time point: 2782.0 | PatientsSeen: 13.0
Time point: 2992.0 | PatientsSeen: 14.0
Time point: 3200.0 | PatientsSeen: 15.0
Time point: 3410.0 | PatientsSeen: 16.0
Time point: 3622.0 | PatientsSeen: 17.0
Time point: 3832.0 | PatientsSeen: 18.0
Time point: 4043.0 | PatientsSeen: 19.0
Time point: 4253.0 | PatientsSeen: 20.0
Time point: 4464.0 | PatientsSeen: 21.0
Time point: 4674.0 | PatientsSeen: 22.0
Time point: 4885.0 | PatientsSeen: 23.0
Time point: 5095.0 | PatientsSeen: 24.0
Time point: 5304.0 | PatientsSeen: 25.0
Time point: 5513.0 | PatientsSeen: 26.0
Time point: 5723.0 | PatientsSeen: 27.0
