Time point: 242.0 | PatientsSeen: 1.0
Time point: 452.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1080.0 | PatientsSeen: 5.0
Time point: 1289.0 | PatientsSeen: 6.0
Time point: 1498.0 | PatientsSeen: 7.0
Time point: 1707.0 | PatientsSeen: 8.0
Time point: 1918.0 | PatientsSeen: 9.0
Time point: 2126.0 | PatientsSeen: 10.0
Time point: 2336.0 | PatientsSeen: 11.0
Time point: 2546.0 | PatientsSeen: 12.0
Time point: 2757.0 | PatientsSeen: 13.0
Time point: 2968.0 | PatientsSeen: 14.0
Time point: 3177.0 | PatientsSeen: 15.0
Time point: 3387.0 | PatientsSeen: 16.0
