Time point: 243.0 | PatientsSeen: 1.0
Time point: 452.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1080.0 | PatientsSeen: 5.0
Time point: 1291.0 | PatientsSeen: 6.0
Time point: 1502.0 | PatientsSeen: 7.0
Time point: 1711.0 | PatientsSeen: 8.0
Time point: 1919.0 | PatientsSeen: 9.0
Time point: 2127.0 | PatientsSeen: 10.0
Time point: 2337.0 | PatientsSeen: 11.0
Time point: 2547.0 | PatientsSeen: 12.0
Time point: 2757.0 | PatientsSeen: 13.0
Time point: 2966.0 | PatientsSeen: 14.0
Time point: 3175.0 | PatientsSeen: 15.0
Time point: 3385.0 | PatientsSeen: 16.0
Time point: 3593.0 | PatientsSeen: 17.0
Time point: 3803.0 | PatientsSeen: 18.0
Time point: 4013.0 | PatientsSeen: 19.0
Time point: 4221.0 | PatientsSeen: 20.0
Time point: 4431.0 | PatientsSeen: 21.0
