Time point: 307.0 | PatientsSeen: 1.0
Time point: 349.0 | PatientsSeen: 2.0
Time point: 390.0 | PatientsSeen: 3.0
Time point: 430.0 | PatientsSeen: 4.0
Time point: 471.0 | PatientsSeen: 5.0
Time point: 512.0 | PatientsSeen: 6.0
Time point: 553.0 | PatientsSeen: 7.0
Time point: 596.0 | PatientsSeen: 8.0
Time point: 637.0 | PatientsSeen: 9.0
Time point: 679.0 | PatientsSeen: 10.0
Time point: 722.0 | PatientsSeen: 11.0
Time point: 764.0 | PatientsSeen: 12.0
Time point: 805.0 | PatientsSeen: 13.0
Time point: 846.0 | PatientsSeen: 14.0
Time point: 888.0 | PatientsSeen: 15.0
Time point: 931.0 | PatientsSeen: 16.0
Time point: 974.0 | PatientsSeen: 17.0
Time point: 1017.0 | PatientsSeen: 18.0
