Time point: 258.0 | PatientsSeen: 1.0
Time point: 468.0 | PatientsSeen: 2.0
Time point: 679.0 | PatientsSeen: 3.0
Time point: 889.0 | PatientsSeen: 4.0
Time point: 1098.0 | PatientsSeen: 5.0
Time point: 1307.0 | PatientsSeen: 6.0
Time point: 1516.0 | PatientsSeen: 7.0
Time point: 1727.0 | PatientsSeen: 8.0
Time point: 1938.0 | PatientsSeen: 9.0
Time point: 2148.0 | PatientsSeen: 10.0
Time point: 2358.0 | PatientsSeen: 11.0
Time point: 2567.0 | PatientsSeen: 12.0
Time point: 2777.0 | PatientsSeen: 13.0
Time point: 2987.0 | PatientsSeen: 14.0
Time point: 3198.0 | PatientsSeen: 15.0
Time point: 3408.0 | PatientsSeen: 16.0
Time point: 3617.0 | PatientsSeen: 17.0
Time point: 3825.0 | PatientsSeen: 18.0
Time point: 4035.0 | PatientsSeen: 19.0
Time point: 4244.0 | PatientsSeen: 20.0
Time point: 4453.0 | PatientsSeen: 21.0
Time point: 4664.0 | PatientsSeen: 22.0
Time point: 4875.0 | PatientsSeen: 23.0
Time point: 5084.0 | PatientsSeen: 24.0
Time point: 5293.0 | PatientsSeen: 25.0
Time point: 5503.0 | PatientsSeen: 26.0
Time point: 5713.0 | PatientsSeen: 27.0
Time point: 5922.0 | PatientsSeen: 28.0
Time point: 6131.0 | PatientsSeen: 29.0
Time point: 6341.0 | PatientsSeen: 30.0
Time point: 6550.0 | PatientsSeen: 31.0
Time point: 6759.0 | PatientsSeen: 32.0
Time point: 6969.0 | PatientsSeen: 33.0
Time point: 7179.0 | PatientsSeen: 34.0
