Time point: 292.0 | PatientsSeen: 1.0
Time point: 342.0 | PatientsSeen: 2.0
Time point: 391.0 | PatientsSeen: 3.0
Time point: 442.0 | PatientsSeen: 4.0
Time point: 493.0 | PatientsSeen: 5.0
Time point: 544.0 | PatientsSeen: 6.0
Time point: 594.0 | PatientsSeen: 7.0
Time point: 644.0 | PatientsSeen: 8.0
Time point: 694.0 | PatientsSeen: 9.0
Time point: 743.0 | PatientsSeen: 10.0
Time point: 795.0 | PatientsSeen: 11.0
Time point: 847.0 | PatientsSeen: 12.0
Time point: 897.0 | PatientsSeen: 13.0
Time point: 948.0 | PatientsSeen: 14.0
Time point: 999.0 | PatientsSeen: 15.0
Time point: 1050.0 | PatientsSeen: 16.0
Time point: 1102.0 | PatientsSeen: 17.0
Time point: 1152.0 | PatientsSeen: 18.0
Time point: 1204.0 | PatientsSeen: 19.0
Time point: 1256.0 | PatientsSeen: 20.0
Time point: 1306.0 | PatientsSeen: 21.0
Time point: 1357.0 | PatientsSeen: 22.0
Time point: 1409.0 | PatientsSeen: 23.0
Time point: 1460.0 | PatientsSeen: 24.0
Time point: 1511.0 | PatientsSeen: 25.0
Time point: 1563.0 | PatientsSeen: 26.0
Time point: 1614.0 | PatientsSeen: 27.0
Time point: 1666.0 | PatientsSeen: 28.0
Time point: 1718.0 | PatientsSeen: 29.0
Time point: 1769.0 | PatientsSeen: 30.0
Time point: 1821.0 | PatientsSeen: 31.0
Time point: 1870.0 | PatientsSeen: 32.0
Time point: 1921.0 | PatientsSeen: 33.0
Time point: 1972.0 | PatientsSeen: 34.0
Time point: 2023.0 | PatientsSeen: 35.0
Time point: 2073.0 | PatientsSeen: 36.0
Time point: 2124.0 | PatientsSeen: 37.0
Time point: 2174.0 | PatientsSeen: 38.0
Time point: 2225.0 | PatientsSeen: 39.0
Time point: 2277.0 | PatientsSeen: 40.0
Time point: 2328.0 | PatientsSeen: 41.0
Time point: 2379.0 | PatientsSeen: 42.0
Time point: 2429.0 | PatientsSeen: 43.0
Time point: 2481.0 | PatientsSeen: 44.0
Time point: 2533.0 | PatientsSeen: 45.0
Time point: 2585.0 | PatientsSeen: 46.0
Time point: 2635.0 | PatientsSeen: 47.0
Time point: 2685.0 | PatientsSeen: 48.0
Time point: 2735.0 | PatientsSeen: 49.0
Time point: 2786.0 | PatientsSeen: 50.0
Time point: 2836.0 | PatientsSeen: 51.0
Time point: 2887.0 | PatientsSeen: 52.0
Time point: 2938.0 | PatientsSeen: 53.0
Time point: 2989.0 | PatientsSeen: 54.0
Time point: 3040.0 | PatientsSeen: 55.0
Time point: 3091.0 | PatientsSeen: 56.0
Time point: 3143.0 | PatientsSeen: 57.0
Time point: 3195.0 | PatientsSeen: 58.0
Time point: 3246.0 | PatientsSeen: 59.0
Time point: 681.0 | PatientsSeen: 1.0
