Time point: 264.0 | PatientsSeen: 1.0
Time point: 475.0 | PatientsSeen: 2.0
Time point: 686.0 | PatientsSeen: 3.0
Time point: 898.0 | PatientsSeen: 4.0
Time point: 1110.0 | PatientsSeen: 5.0
Time point: 1321.0 | PatientsSeen: 6.0
Time point: 1531.0 | PatientsSeen: 7.0
Time point: 1742.0 | PatientsSeen: 8.0
Time point: 1954.0 | PatientsSeen: 9.0
Time point: 2166.0 | PatientsSeen: 10.0
Time point: 2376.0 | PatientsSeen: 11.0
Time point: 2586.0 | PatientsSeen: 12.0
Time point: 2796.0 | PatientsSeen: 13.0
Time point: 3008.0 | PatientsSeen: 14.0
Time point: 3218.0 | PatientsSeen: 15.0
Time point: 3428.0 | PatientsSeen: 16.0
Time point: 3638.0 | PatientsSeen: 17.0
Time point: 3849.0 | PatientsSeen: 18.0
Time point: 4060.0 | PatientsSeen: 19.0
Time point: 4269.0 | PatientsSeen: 20.0
Time point: 4481.0 | PatientsSeen: 21.0
Time point: 4692.0 | PatientsSeen: 22.0
Time point: 4903.0 | PatientsSeen: 23.0
Time point: 5114.0 | PatientsSeen: 24.0
Time point: 5323.0 | PatientsSeen: 25.0
Time point: 5533.0 | PatientsSeen: 26.0
Time point: 5743.0 | PatientsSeen: 27.0
