Time point: 233.0 | PatientsSeen: 1.0
Time point: 443.0 | PatientsSeen: 2.0
Time point: 654.0 | PatientsSeen: 3.0
Time point: 251.0 | PatientsSeen: 1.0
Time point: 461.0 | PatientsSeen: 2.0
Time point: 672.0 | PatientsSeen: 3.0
Time point: 882.0 | PatientsSeen: 4.0
Time point: 1093.0 | PatientsSeen: 5.0
Time point: 1304.0 | PatientsSeen: 6.0
Time point: 1513.0 | PatientsSeen: 7.0
Time point: 1722.0 | PatientsSeen: 8.0
Time point: 1933.0 | PatientsSeen: 9.0
Time point: 2143.0 | PatientsSeen: 10.0
Time point: 2355.0 | PatientsSeen: 11.0
Time point: 2566.0 | PatientsSeen: 12.0
Time point: 2776.0 | PatientsSeen: 13.0
Time point: 2986.0 | PatientsSeen: 14.0
Time point: 3196.0 | PatientsSeen: 15.0
Time point: 3407.0 | PatientsSeen: 16.0
Time point: 3618.0 | PatientsSeen: 17.0
Time point: 3829.0 | PatientsSeen: 18.0
Time point: 4041.0 | PatientsSeen: 19.0
Time point: 4250.0 | PatientsSeen: 20.0
Time point: 4461.0 | PatientsSeen: 21.0
Time point: 4670.0 | PatientsSeen: 22.0
Time point: 4879.0 | PatientsSeen: 23.0
Time point: 5090.0 | PatientsSeen: 24.0
Time point: 5300.0 | PatientsSeen: 25.0
Time point: 5511.0 | PatientsSeen: 26.0
Time point: 5721.0 | PatientsSeen: 27.0
Time point: 5932.0 | PatientsSeen: 28.0
Time point: 6142.0 | PatientsSeen: 29.0
Time point: 6353.0 | PatientsSeen: 30.0
Time point: 6564.0 | PatientsSeen: 31.0
Time point: 6773.0 | PatientsSeen: 32.0
Time point: 6983.0 | PatientsSeen: 33.0
Time point: 7192.0 | PatientsSeen: 34.0
Time point: 7402.0 | PatientsSeen: 35.0
Time point: 7613.0 | PatientsSeen: 36.0
Time point: 7824.0 | PatientsSeen: 37.0
Time point: 8034.0 | PatientsSeen: 38.0
Time point: 8245.0 | PatientsSeen: 39.0
Time point: 8455.0 | PatientsSeen: 40.0
Time point: 8664.0 | PatientsSeen: 41.0
Time point: 8874.0 | PatientsSeen: 42.0
Time point: 9084.0 | PatientsSeen: 43.0
Time point: 9294.0 | PatientsSeen: 44.0
Time point: 9505.0 | PatientsSeen: 45.0
Time point: 9715.0 | PatientsSeen: 46.0
Time point: 9926.0 | PatientsSeen: 47.0
Time point: 10135.0 | PatientsSeen: 48.0
Time point: 10346.0 | PatientsSeen: 49.0
Time point: 10557.0 | PatientsSeen: 50.0
