Time point: 258.0 | PatientsSeen: 1.0
Time point: 468.0 | PatientsSeen: 2.0
Time point: 678.0 | PatientsSeen: 3.0
Time point: 887.0 | PatientsSeen: 4.0
Time point: 1097.0 | PatientsSeen: 5.0
Time point: 1307.0 | PatientsSeen: 6.0
Time point: 1517.0 | PatientsSeen: 7.0
Time point: 1728.0 | PatientsSeen: 8.0
Time point: 1937.0 | PatientsSeen: 9.0
Time point: 2147.0 | PatientsSeen: 10.0
Time point: 2357.0 | PatientsSeen: 11.0
Time point: 2566.0 | PatientsSeen: 12.0
Time point: 2776.0 | PatientsSeen: 13.0
Time point: 2986.0 | PatientsSeen: 14.0
Time point: 3196.0 | PatientsSeen: 15.0
Time point: 3405.0 | PatientsSeen: 16.0
Time point: 3613.0 | PatientsSeen: 17.0
Time point: 3824.0 | PatientsSeen: 18.0
Time point: 4033.0 | PatientsSeen: 19.0
Time point: 4244.0 | PatientsSeen: 20.0
Time point: 4455.0 | PatientsSeen: 21.0
