Time point: 150.0 | PatientsSeen: 1.0
Time point: 193.0 | PatientsSeen: 2.0
Time point: 235.0 | PatientsSeen: 3.0
Time point: 276.0 | PatientsSeen: 4.0
Time point: 316.0 | PatientsSeen: 5.0
Time point: 358.0 | PatientsSeen: 6.0
Time point: 398.0 | PatientsSeen: 7.0
Time point: 439.0 | PatientsSeen: 8.0
Time point: 481.0 | PatientsSeen: 9.0
Time point: 522.0 | PatientsSeen: 10.0
Time point: 563.0 | PatientsSeen: 11.0
Time point: 604.0 | PatientsSeen: 12.0
Time point: 645.0 | PatientsSeen: 13.0
Time point: 686.0 | PatientsSeen: 14.0
Time point: 731.0 | PatientsSeen: 15.0
Time point: 779.0 | PatientsSeen: 16.0
Time point: 826.0 | PatientsSeen: 17.0
