Time point: 227.0 | PatientsSeen: 1.0
Time point: 437.0 | PatientsSeen: 2.0
Time point: 646.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1062.0 | PatientsSeen: 5.0
Time point: 1270.0 | PatientsSeen: 6.0
Time point: 1479.0 | PatientsSeen: 7.0
Time point: 1689.0 | PatientsSeen: 8.0
Time point: 1898.0 | PatientsSeen: 9.0
Time point: 2107.0 | PatientsSeen: 10.0
Time point: 2317.0 | PatientsSeen: 11.0
Time point: 2528.0 | PatientsSeen: 12.0
Time point: 2738.0 | PatientsSeen: 13.0
Time point: 2948.0 | PatientsSeen: 14.0
Time point: 3156.0 | PatientsSeen: 15.0
Time point: 3365.0 | PatientsSeen: 16.0
Time point: 3573.0 | PatientsSeen: 17.0
