Time point: 262.0 | PatientsSeen: 1.0
Time point: 473.0 | PatientsSeen: 2.0
Time point: 684.0 | PatientsSeen: 3.0
Time point: 894.0 | PatientsSeen: 4.0
Time point: 1105.0 | PatientsSeen: 5.0
Time point: 1316.0 | PatientsSeen: 6.0
Time point: 1527.0 | PatientsSeen: 7.0
Time point: 1736.0 | PatientsSeen: 8.0
Time point: 1945.0 | PatientsSeen: 9.0
Time point: 2154.0 | PatientsSeen: 10.0
Time point: 2365.0 | PatientsSeen: 11.0
Time point: 2576.0 | PatientsSeen: 12.0
Time point: 2786.0 | PatientsSeen: 13.0
Time point: 2996.0 | PatientsSeen: 14.0
