Time point: 255.0 | PatientsSeen: 1.0
Time point: 465.0 | PatientsSeen: 2.0
Time point: 676.0 | PatientsSeen: 3.0
Time point: 886.0 | PatientsSeen: 4.0
Time point: 1097.0 | PatientsSeen: 5.0
Time point: 1308.0 | PatientsSeen: 6.0
Time point: 1518.0 | PatientsSeen: 7.0
Time point: 1728.0 | PatientsSeen: 8.0
Time point: 1938.0 | PatientsSeen: 9.0
Time point: 2147.0 | PatientsSeen: 10.0
Time point: 2356.0 | PatientsSeen: 11.0
Time point: 2568.0 | PatientsSeen: 12.0
Time point: 2779.0 | PatientsSeen: 13.0
Time point: 2989.0 | PatientsSeen: 14.0
Time point: 3197.0 | PatientsSeen: 15.0
Time point: 3406.0 | PatientsSeen: 16.0
Time point: 3617.0 | PatientsSeen: 17.0
Time point: 3828.0 | PatientsSeen: 18.0
Time point: 4038.0 | PatientsSeen: 19.0
