Time point: 225.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 855.0 | PatientsSeen: 4.0
Time point: 1065.0 | PatientsSeen: 5.0
Time point: 1275.0 | PatientsSeen: 6.0
Time point: 1484.0 | PatientsSeen: 7.0
Time point: 1694.0 | PatientsSeen: 8.0
Time point: 1904.0 | PatientsSeen: 9.0
Time point: 2115.0 | PatientsSeen: 10.0
Time point: 2324.0 | PatientsSeen: 11.0
Time point: 2534.0 | PatientsSeen: 12.0
Time point: 2743.0 | PatientsSeen: 13.0
Time point: 2953.0 | PatientsSeen: 14.0
Time point: 3163.0 | PatientsSeen: 15.0
Time point: 3373.0 | PatientsSeen: 16.0
Time point: 3583.0 | PatientsSeen: 17.0
Time point: 3792.0 | PatientsSeen: 18.0
Time point: 241.0 | PatientsSeen: 1.0
