Time point: 257.0 | PatientsSeen: 1.0
Time point: 466.0 | PatientsSeen: 2.0
Time point: 675.0 | PatientsSeen: 3.0
Time point: 884.0 | PatientsSeen: 4.0
Time point: 1095.0 | PatientsSeen: 5.0
Time point: 1304.0 | PatientsSeen: 6.0
Time point: 1514.0 | PatientsSeen: 7.0
Time point: 1724.0 | PatientsSeen: 8.0
Time point: 1934.0 | PatientsSeen: 9.0
Time point: 2144.0 | PatientsSeen: 10.0
Time point: 2353.0 | PatientsSeen: 11.0
Time point: 2562.0 | PatientsSeen: 12.0
Time point: 2770.0 | PatientsSeen: 13.0
Time point: 2977.0 | PatientsSeen: 14.0
