Time point: 225.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 644.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1275.0 | PatientsSeen: 6.0
Time point: 1485.0 | PatientsSeen: 7.0
Time point: 1694.0 | PatientsSeen: 8.0
Time point: 1904.0 | PatientsSeen: 9.0
Time point: 2114.0 | PatientsSeen: 10.0
Time point: 2325.0 | PatientsSeen: 11.0
Time point: 2536.0 | PatientsSeen: 12.0
Time point: 2746.0 | PatientsSeen: 13.0
Time point: 2956.0 | PatientsSeen: 14.0
Time point: 3164.0 | PatientsSeen: 15.0
Time point: 3375.0 | PatientsSeen: 16.0
Time point: 3585.0 | PatientsSeen: 17.0
