Time point: 234.0 | PatientsSeen: 1.0
Time point: 444.0 | PatientsSeen: 2.0
Time point: 654.0 | PatientsSeen: 3.0
Time point: 863.0 | PatientsSeen: 4.0
Time point: 1073.0 | PatientsSeen: 5.0
Time point: 1283.0 | PatientsSeen: 6.0
Time point: 1493.0 | PatientsSeen: 7.0
Time point: 1704.0 | PatientsSeen: 8.0
Time point: 1914.0 | PatientsSeen: 9.0
Time point: 2125.0 | PatientsSeen: 10.0
Time point: 2335.0 | PatientsSeen: 11.0
Time point: 2545.0 | PatientsSeen: 12.0
Time point: 2754.0 | PatientsSeen: 13.0
Time point: 2964.0 | PatientsSeen: 14.0
Time point: 3176.0 | PatientsSeen: 15.0
Time point: 3386.0 | PatientsSeen: 16.0
Time point: 3597.0 | PatientsSeen: 17.0
Time point: 3807.0 | PatientsSeen: 18.0
Time point: 4018.0 | PatientsSeen: 19.0
Time point: 4228.0 | PatientsSeen: 20.0
