Time point: 225.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 856.0 | PatientsSeen: 4.0
Time point: 1065.0 | PatientsSeen: 5.0
Time point: 1276.0 | PatientsSeen: 6.0
Time point: 1486.0 | PatientsSeen: 7.0
Time point: 1695.0 | PatientsSeen: 8.0
Time point: 1905.0 | PatientsSeen: 9.0
Time point: 2114.0 | PatientsSeen: 10.0
Time point: 2325.0 | PatientsSeen: 11.0
Time point: 2535.0 | PatientsSeen: 12.0
Time point: 2745.0 | PatientsSeen: 13.0
Time point: 2955.0 | PatientsSeen: 14.0
Time point: 3164.0 | PatientsSeen: 15.0
Time point: 3372.0 | PatientsSeen: 16.0
Time point: 3581.0 | PatientsSeen: 17.0
Time point: 3791.0 | PatientsSeen: 18.0
Time point: 4002.0 | PatientsSeen: 19.0
Time point: 4212.0 | PatientsSeen: 20.0
Time point: 4421.0 | PatientsSeen: 21.0
