Time point: 238.0 | PatientsSeen: 1.0
Time point: 424.0 | PatientsSeen: 2.0
Time point: 610.0 | PatientsSeen: 3.0
Time point: 796.0 | PatientsSeen: 4.0
Time point: 982.0 | PatientsSeen: 5.0
Time point: 1168.0 | PatientsSeen: 6.0
Time point: 1354.0 | PatientsSeen: 7.0
Time point: 1539.0 | PatientsSeen: 8.0
Time point: 1724.0 | PatientsSeen: 9.0
Time point: 1910.0 | PatientsSeen: 10.0
Time point: 2095.0 | PatientsSeen: 11.0
Time point: 2281.0 | PatientsSeen: 12.0
Time point: 2467.0 | PatientsSeen: 13.0
Time point: 2653.0 | PatientsSeen: 14.0
Time point: 2838.0 | PatientsSeen: 15.0
Time point: 3024.0 | PatientsSeen: 16.0
Time point: 3209.0 | PatientsSeen: 17.0
Time point: 3394.0 | PatientsSeen: 18.0
Time point: 3580.0 | PatientsSeen: 19.0
