Time point: 242.0 | PatientsSeen: 1.0
Time point: 452.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1080.0 | PatientsSeen: 5.0
Time point: 1290.0 | PatientsSeen: 6.0
Time point: 1499.0 | PatientsSeen: 7.0
Time point: 1709.0 | PatientsSeen: 8.0
Time point: 1919.0 | PatientsSeen: 9.0
Time point: 2130.0 | PatientsSeen: 10.0
Time point: 2341.0 | PatientsSeen: 11.0
Time point: 2550.0 | PatientsSeen: 12.0
Time point: 2759.0 | PatientsSeen: 13.0
Time point: 2969.0 | PatientsSeen: 14.0
Time point: 3178.0 | PatientsSeen: 15.0
Time point: 3388.0 | PatientsSeen: 16.0
Time point: 3596.0 | PatientsSeen: 17.0
Time point: 3805.0 | PatientsSeen: 18.0
Time point: 4015.0 | PatientsSeen: 19.0
Time point: 4223.0 | PatientsSeen: 20.0
Time point: 4433.0 | PatientsSeen: 21.0
