Time point: 64.0 | Happiness: 1.0
Time point: 87.0 | Happiness: 2.0
Time point: 103.0 | Happiness: 3.0
Time point: 135.0 | Happiness: 4.0
Time point: 151.0 | Happiness: 5.0
Time point: 167.0 | Happiness: 6.0
Time point: 183.0 | Happiness: 7.0
Time point: 199.0 | Happiness: 8.0
Time point: 214.0 | Happiness: 9.0
Time point: 229.0 | Happiness: 10.0
Time point: 255.0 | Happiness: 11.0
Time point: 282.0 | Happiness: 12.0
Time point: 314.0 | Happiness: 13.0
Time point: 342.0 | Happiness: 14.0
Time point: 358.0 | Happiness: 15.0
Time point: 374.0 | Happiness: 16.0
Time point: 405.0 | Happiness: 17.0
Time point: 429.0 | Happiness: 18.0
Time point: 453.0 | Happiness: 19.0
Time point: 468.0 | Happiness: 20.0
Time point: 495.0 | Happiness: 21.0
Time point: 511.0 | Happiness: 22.0
Time point: 527.0 | Happiness: 23.0
Time point: 543.0 | Happiness: 24.0
Time point: 566.0 | Happiness: 25.0
Time point: 581.0 | Happiness: 26.0
Time point: 597.0 | Happiness: 27.0
Time point: 613.0 | Happiness: 28.0
Time point: 646.0 | Happiness: 29.0
Time point: 663.0 | Happiness: 30.0
Time point: 687.0 | Happiness: 31.0
Time point: 703.0 | Happiness: 32.0
Time point: 735.0 | Happiness: 33.0
Time point: 750.0 | Happiness: 34.0
Time point: 766.0 | Happiness: 35.0
Time point: 789.0 | Happiness: 36.0
Time point: 805.0 | Happiness: 37.0
Time point: 822.0 | Happiness: 38.0
Time point: 849.0 | Happiness: 39.0
Time point: 865.0 | Happiness: 40.0
Time point: 895.0 | Happiness: 41.0
Time point: 920.0 | Happiness: 42.0
Time point: 935.0 | Happiness: 43.0
Time point: 951.0 | Happiness: 44.0
Time point: 981.0 | Happiness: 45.0
Time point: 1005.0 | Happiness: 46.0
