Time point: 728.0 | PatientsSeen: 1.0
Time point: 1353.0 | PatientsSeen: 2.0
Time point: 1978.0 | PatientsSeen: 3.0
Time point: 2602.0 | PatientsSeen: 4.0
Time point: 3227.0 | PatientsSeen: 5.0
Time point: 3851.0 | PatientsSeen: 6.0
Time point: 4475.0 | PatientsSeen: 7.0
Time point: 5098.0 | PatientsSeen: 8.0
Time point: 5723.0 | PatientsSeen: 9.0
Time point: 6348.0 | PatientsSeen: 10.0
Time point: 6972.0 | PatientsSeen: 11.0
Time point: 7596.0 | PatientsSeen: 12.0
Time point: 8220.0 | PatientsSeen: 13.0
Time point: 8844.0 | PatientsSeen: 14.0
Time point: 9470.0 | PatientsSeen: 15.0
Time point: 10095.0 | PatientsSeen: 16.0
Time point: 10720.0 | PatientsSeen: 17.0
