Time point: 234.0 | PatientsSeen: 1.0
Time point: 446.0 | PatientsSeen: 2.0
Time point: 657.0 | PatientsSeen: 3.0
Time point: 866.0 | PatientsSeen: 4.0
Time point: 1078.0 | PatientsSeen: 5.0
Time point: 1291.0 | PatientsSeen: 6.0
Time point: 1503.0 | PatientsSeen: 7.0
Time point: 1714.0 | PatientsSeen: 8.0
Time point: 1926.0 | PatientsSeen: 9.0
Time point: 2139.0 | PatientsSeen: 10.0
Time point: 2347.0 | PatientsSeen: 11.0
Time point: 2561.0 | PatientsSeen: 12.0
Time point: 2776.0 | PatientsSeen: 13.0
Time point: 2988.0 | PatientsSeen: 14.0
Time point: 3199.0 | PatientsSeen: 15.0
Time point: 3409.0 | PatientsSeen: 16.0
Time point: 3622.0 | PatientsSeen: 17.0
Time point: 3834.0 | PatientsSeen: 18.0
Time point: 4045.0 | PatientsSeen: 19.0
Time point: 4257.0 | PatientsSeen: 20.0
Time point: 4470.0 | PatientsSeen: 21.0
Time point: 4682.0 | PatientsSeen: 22.0
Time point: 4892.0 | PatientsSeen: 23.0
Time point: 5104.0 | PatientsSeen: 24.0
Time point: 5315.0 | PatientsSeen: 25.0
Time point: 5526.0 | PatientsSeen: 26.0
Time point: 5737.0 | PatientsSeen: 27.0
Time point: 5949.0 | PatientsSeen: 28.0
Time point: 6159.0 | PatientsSeen: 29.0
Time point: 6370.0 | PatientsSeen: 30.0
Time point: 6580.0 | PatientsSeen: 31.0
Time point: 6792.0 | PatientsSeen: 32.0
Time point: 7006.0 | PatientsSeen: 33.0
Time point: 7218.0 | PatientsSeen: 34.0
Time point: 7428.0 | PatientsSeen: 35.0
Time point: 7639.0 | PatientsSeen: 36.0
Time point: 7849.0 | PatientsSeen: 37.0
Time point: 8063.0 | PatientsSeen: 38.0
Time point: 8273.0 | PatientsSeen: 39.0
Time point: 8487.0 | PatientsSeen: 40.0
