Time point: 190.0 | PatientsSeen: 1.0
Time point: 233.0 | PatientsSeen: 2.0
Time point: 275.0 | PatientsSeen: 3.0
Time point: 317.0 | PatientsSeen: 4.0
Time point: 382.0 | PatientsSeen: 5.0
Time point: 445.0 | PatientsSeen: 6.0
Time point: 488.0 | PatientsSeen: 7.0
Time point: 550.0 | PatientsSeen: 8.0
Time point: 613.0 | PatientsSeen: 9.0
Time point: 674.0 | PatientsSeen: 10.0
Time point: 739.0 | PatientsSeen: 11.0
Time point: 786.0 | PatientsSeen: 12.0
Time point: 843.0 | PatientsSeen: 13.0
Time point: 907.0 | PatientsSeen: 14.0
Time point: 970.0 | PatientsSeen: 15.0
Time point: 1031.0 | PatientsSeen: 16.0
Time point: 1075.0 | PatientsSeen: 17.0
Time point: 1138.0 | PatientsSeen: 18.0
Time point: 1200.0 | PatientsSeen: 19.0
Time point: 1263.0 | PatientsSeen: 20.0
Time point: 1326.0 | PatientsSeen: 21.0
Time point: 1391.0 | PatientsSeen: 22.0
Time point: 1451.0 | PatientsSeen: 23.0
Time point: 1516.0 | PatientsSeen: 24.0
Time point: 1578.0 | PatientsSeen: 25.0
Time point: 1642.0 | PatientsSeen: 26.0
Time point: 1704.0 | PatientsSeen: 27.0
Time point: 1769.0 | PatientsSeen: 28.0
Time point: 1832.0 | PatientsSeen: 29.0
Time point: 1893.0 | PatientsSeen: 30.0
Time point: 1955.0 | PatientsSeen: 31.0
Time point: 2019.0 | PatientsSeen: 32.0
Time point: 2081.0 | PatientsSeen: 33.0
Time point: 2147.0 | PatientsSeen: 34.0
Time point: 2208.0 | PatientsSeen: 35.0
Time point: 2273.0 | PatientsSeen: 36.0
Time point: 2336.0 | PatientsSeen: 37.0
Time point: 2399.0 | PatientsSeen: 38.0
Time point: 2462.0 | PatientsSeen: 39.0
Time point: 2524.0 | PatientsSeen: 40.0
Time point: 2588.0 | PatientsSeen: 41.0
Time point: 2650.0 | PatientsSeen: 42.0
Time point: 2712.0 | PatientsSeen: 43.0
Time point: 2776.0 | PatientsSeen: 44.0
Time point: 2839.0 | PatientsSeen: 45.0
Time point: 2901.0 | PatientsSeen: 46.0
Time point: 2964.0 | PatientsSeen: 47.0
Time point: 3028.0 | PatientsSeen: 48.0
Time point: 3089.0 | PatientsSeen: 49.0
Time point: 3152.0 | PatientsSeen: 50.0
Time point: 3217.0 | PatientsSeen: 51.0
Time point: 3280.0 | PatientsSeen: 52.0
Time point: 3343.0 | PatientsSeen: 53.0
Time point: 3404.0 | PatientsSeen: 54.0
Time point: 3467.0 | PatientsSeen: 55.0
Time point: 3532.0 | PatientsSeen: 56.0
Time point: 3594.0 | PatientsSeen: 57.0
Time point: 3659.0 | PatientsSeen: 58.0
Time point: 3721.0 | PatientsSeen: 59.0
Time point: 3784.0 | PatientsSeen: 60.0
Time point: 3847.0 | PatientsSeen: 61.0
