Time point: 651.0 | PatientsSeen: 1.0
Time point: 1274.0 | PatientsSeen: 2.0
Time point: 1898.0 | PatientsSeen: 3.0
Time point: 2524.0 | PatientsSeen: 4.0
Time point: 3147.0 | PatientsSeen: 5.0
Time point: 3773.0 | PatientsSeen: 6.0
Time point: 4398.0 | PatientsSeen: 7.0
Time point: 5023.0 | PatientsSeen: 8.0
Time point: 5648.0 | PatientsSeen: 9.0
Time point: 6273.0 | PatientsSeen: 10.0
Time point: 6897.0 | PatientsSeen: 11.0
Time point: 7521.0 | PatientsSeen: 12.0
Time point: 8144.0 | PatientsSeen: 13.0
Time point: 8768.0 | PatientsSeen: 14.0
Time point: 9392.0 | PatientsSeen: 15.0
Time point: 10016.0 | PatientsSeen: 16.0
