Time point: 224.0 | PatientsSeen: 1.0
Time point: 434.0 | PatientsSeen: 2.0
Time point: 643.0 | PatientsSeen: 3.0
Time point: 852.0 | PatientsSeen: 4.0
Time point: 1061.0 | PatientsSeen: 5.0
Time point: 238.0 | PatientsSeen: 1.0
Time point: 450.0 | PatientsSeen: 2.0
Time point: 662.0 | PatientsSeen: 3.0
Time point: 872.0 | PatientsSeen: 4.0
Time point: 1084.0 | PatientsSeen: 5.0
Time point: 1295.0 | PatientsSeen: 6.0
Time point: 1506.0 | PatientsSeen: 7.0
Time point: 1717.0 | PatientsSeen: 8.0
Time point: 1928.0 | PatientsSeen: 9.0
Time point: 2138.0 | PatientsSeen: 10.0
Time point: 2348.0 | PatientsSeen: 11.0
Time point: 2559.0 | PatientsSeen: 12.0
Time point: 2770.0 | PatientsSeen: 13.0
Time point: 2982.0 | PatientsSeen: 14.0
Time point: 3194.0 | PatientsSeen: 15.0
Time point: 3407.0 | PatientsSeen: 16.0
Time point: 3618.0 | PatientsSeen: 17.0
Time point: 3830.0 | PatientsSeen: 18.0
Time point: 4043.0 | PatientsSeen: 19.0
Time point: 4253.0 | PatientsSeen: 20.0
Time point: 4466.0 | PatientsSeen: 21.0
Time point: 4677.0 | PatientsSeen: 22.0
Time point: 4886.0 | PatientsSeen: 23.0
Time point: 5097.0 | PatientsSeen: 24.0
Time point: 5310.0 | PatientsSeen: 25.0
Time point: 5520.0 | PatientsSeen: 26.0
Time point: 5731.0 | PatientsSeen: 27.0
Time point: 5944.0 | PatientsSeen: 28.0
Time point: 6156.0 | PatientsSeen: 29.0
Time point: 6369.0 | PatientsSeen: 30.0
Time point: 6580.0 | PatientsSeen: 31.0
Time point: 6793.0 | PatientsSeen: 32.0
Time point: 7003.0 | PatientsSeen: 33.0
