Time point: 93.0 | Happiness: 1.0
Time point: 123.0 | Happiness: 2.0
Time point: 151.0 | Happiness: 3.0
Time point: 183.0 | Happiness: 4.0
Time point: 213.0 | Happiness: 5.0
Time point: 229.0 | Happiness: 6.0
Time point: 245.0 | Happiness: 7.0
Time point: 272.0 | Happiness: 8.0
Time point: 287.0 | Happiness: 9.0
Time point: 303.0 | Happiness: 10.0
Time point: 319.0 | Happiness: 11.0
Time point: 349.0 | Happiness: 12.0
Time point: 365.0 | Happiness: 13.0
Time point: 381.0 | Happiness: 14.0
Time point: 397.0 | Happiness: 15.0
Time point: 422.0 | Happiness: 16.0
Time point: 437.0 | Happiness: 17.0
Time point: 462.0 | Happiness: 18.0
Time point: 478.0 | Happiness: 19.0
Time point: 493.0 | Happiness: 20.0
Time point: 512.0 | Happiness: 21.0
Time point: 528.0 | Happiness: 22.0
Time point: 554.0 | Happiness: 23.0
Time point: 569.0 | Happiness: 24.0
Time point: 584.0 | Happiness: 25.0
Time point: 610.0 | Happiness: 26.0
Time point: 632.0 | Happiness: 27.0
Time point: 648.0 | Happiness: 28.0
Time point: 680.0 | Happiness: 29.0
Time point: 696.0 | Happiness: 30.0
Time point: 712.0 | Happiness: 31.0
Time point: 734.0 | Happiness: 32.0
Time point: 749.0 | Happiness: 33.0
Time point: 765.0 | Happiness: 34.0
Time point: 788.0 | Happiness: 35.0
Time point: 803.0 | Happiness: 36.0
Time point: 826.0 | Happiness: 37.0
Time point: 854.0 | Happiness: 38.0
Time point: 883.0 | Happiness: 39.0
Time point: 908.0 | Happiness: 40.0
Time point: 924.0 | Happiness: 41.0
Time point: 952.0 | Happiness: 42.0
Time point: 968.0 | Happiness: 43.0
Time point: 984.0 | Happiness: 44.0
Time point: 1004.0 | Happiness: 45.0
Time point: 1020.0 | Happiness: 46.0
Time point: 1046.0 | Happiness: 47.0
Time point: 1077.0 | Happiness: 48.0
Time point: 1094.0 | Happiness: 49.0
Time point: 1117.0 | Happiness: 50.0
Time point: 1133.0 | Happiness: 51.0
Time point: 1149.0 | Happiness: 52.0
Time point: 1165.0 | Happiness: 53.0
Time point: 1184.0 | Happiness: 54.0
Time point: 1200.0 | Happiness: 55.0
Time point: 1232.0 | Happiness: 56.0
Time point: 1248.0 | Happiness: 57.0
Time point: 1263.0 | Happiness: 58.0
