Time point: 322.0 | PatientsSeen: 1.0
Time point: 364.0 | PatientsSeen: 2.0
Time point: 405.0 | PatientsSeen: 3.0
Time point: 446.0 | PatientsSeen: 4.0
Time point: 488.0 | PatientsSeen: 5.0
Time point: 531.0 | PatientsSeen: 6.0
Time point: 572.0 | PatientsSeen: 7.0
Time point: 614.0 | PatientsSeen: 8.0
Time point: 654.0 | PatientsSeen: 9.0
Time point: 695.0 | PatientsSeen: 10.0
Time point: 737.0 | PatientsSeen: 11.0
Time point: 779.0 | PatientsSeen: 12.0
Time point: 822.0 | PatientsSeen: 13.0
Time point: 863.0 | PatientsSeen: 14.0
Time point: 905.0 | PatientsSeen: 15.0
Time point: 946.0 | PatientsSeen: 16.0
Time point: 987.0 | PatientsSeen: 17.0
Time point: 1029.0 | PatientsSeen: 18.0
Time point: 1069.0 | PatientsSeen: 19.0
Time point: 1110.0 | PatientsSeen: 20.0
Time point: 1151.0 | PatientsSeen: 21.0
Time point: 1192.0 | PatientsSeen: 22.0
Time point: 1233.0 | PatientsSeen: 23.0
Time point: 1275.0 | PatientsSeen: 24.0
Time point: 1318.0 | PatientsSeen: 25.0
Time point: 1359.0 | PatientsSeen: 26.0
Time point: 1401.0 | PatientsSeen: 27.0
Time point: 1443.0 | PatientsSeen: 28.0
Time point: 1485.0 | PatientsSeen: 29.0
Time point: 1531.0 | PatientsSeen: 30.0
Time point: 1580.0 | PatientsSeen: 31.0
Time point: 1627.0 | PatientsSeen: 32.0
Time point: 1675.0 | PatientsSeen: 33.0
Time point: 1721.0 | PatientsSeen: 34.0
Time point: 1770.0 | PatientsSeen: 35.0
Time point: 1817.0 | PatientsSeen: 36.0
Time point: 1867.0 | PatientsSeen: 37.0
Time point: 1915.0 | PatientsSeen: 38.0
Time point: 1961.0 | PatientsSeen: 39.0
Time point: 2011.0 | PatientsSeen: 40.0
Time point: 2059.0 | PatientsSeen: 41.0
Time point: 2105.0 | PatientsSeen: 42.0
Time point: 2154.0 | PatientsSeen: 43.0
Time point: 2202.0 | PatientsSeen: 44.0
Time point: 2249.0 | PatientsSeen: 45.0
Time point: 2300.0 | PatientsSeen: 46.0
Time point: 2345.0 | PatientsSeen: 47.0
Time point: 2393.0 | PatientsSeen: 48.0
Time point: 2442.0 | PatientsSeen: 49.0
Time point: 2490.0 | PatientsSeen: 50.0
Time point: 2538.0 | PatientsSeen: 51.0
Time point: 2586.0 | PatientsSeen: 52.0
Time point: 2634.0 | PatientsSeen: 53.0
Time point: 2683.0 | PatientsSeen: 54.0
Time point: 2730.0 | PatientsSeen: 55.0
Time point: 2779.0 | PatientsSeen: 56.0
Time point: 2826.0 | PatientsSeen: 57.0
Time point: 2873.0 | PatientsSeen: 58.0
Time point: 2924.0 | PatientsSeen: 59.0
Time point: 2970.0 | PatientsSeen: 60.0
Time point: 3019.0 | PatientsSeen: 61.0
Time point: 3066.0 | PatientsSeen: 62.0
Time point: 3116.0 | PatientsSeen: 63.0
Time point: 3162.0 | PatientsSeen: 64.0
Time point: 3210.0 | PatientsSeen: 65.0
Time point: 3259.0 | PatientsSeen: 66.0
Time point: 3308.0 | PatientsSeen: 67.0
Time point: 3354.0 | PatientsSeen: 68.0
Time point: 3402.0 | PatientsSeen: 69.0
Time point: 3452.0 | PatientsSeen: 70.0
Time point: 3498.0 | PatientsSeen: 71.0
Time point: 3547.0 | PatientsSeen: 72.0
