Time point: 244.0 | PatientsSeen: 1.0
Time point: 453.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 870.0 | PatientsSeen: 4.0
Time point: 1079.0 | PatientsSeen: 5.0
Time point: 1287.0 | PatientsSeen: 6.0
Time point: 1495.0 | PatientsSeen: 7.0
Time point: 1703.0 | PatientsSeen: 8.0
Time point: 1912.0 | PatientsSeen: 9.0
Time point: 2121.0 | PatientsSeen: 10.0
Time point: 2330.0 | PatientsSeen: 11.0
Time point: 2538.0 | PatientsSeen: 12.0
Time point: 2748.0 | PatientsSeen: 13.0
Time point: 2958.0 | PatientsSeen: 14.0
