Time point: 144.0 | PatientsSeen: 1.0
Time point: 185.0 | PatientsSeen: 2.0
Time point: 226.0 | PatientsSeen: 3.0
Time point: 268.0 | PatientsSeen: 4.0
Time point: 310.0 | PatientsSeen: 5.0
Time point: 352.0 | PatientsSeen: 6.0
Time point: 393.0 | PatientsSeen: 7.0
Time point: 435.0 | PatientsSeen: 8.0
Time point: 477.0 | PatientsSeen: 9.0
Time point: 520.0 | PatientsSeen: 10.0
Time point: 561.0 | PatientsSeen: 11.0
Time point: 602.0 | PatientsSeen: 12.0
Time point: 644.0 | PatientsSeen: 13.0
Time point: 686.0 | PatientsSeen: 14.0
Time point: 727.0 | PatientsSeen: 15.0
Time point: 770.0 | PatientsSeen: 16.0
Time point: 812.0 | PatientsSeen: 17.0
Time point: 853.0 | PatientsSeen: 18.0
Time point: 896.0 | PatientsSeen: 19.0
Time point: 937.0 | PatientsSeen: 20.0
Time point: 978.0 | PatientsSeen: 21.0
Time point: 1019.0 | PatientsSeen: 22.0
Time point: 1061.0 | PatientsSeen: 23.0
Time point: 1103.0 | PatientsSeen: 24.0
Time point: 1145.0 | PatientsSeen: 25.0
Time point: 1187.0 | PatientsSeen: 26.0
Time point: 1229.0 | PatientsSeen: 27.0
Time point: 1272.0 | PatientsSeen: 28.0
Time point: 1313.0 | PatientsSeen: 29.0
Time point: 1354.0 | PatientsSeen: 30.0
Time point: 1395.0 | PatientsSeen: 31.0
Time point: 1435.0 | PatientsSeen: 32.0
Time point: 1476.0 | PatientsSeen: 33.0
Time point: 1518.0 | PatientsSeen: 34.0
Time point: 1562.0 | PatientsSeen: 35.0
Time point: 1611.0 | PatientsSeen: 36.0
Time point: 1660.0 | PatientsSeen: 37.0
Time point: 1706.0 | PatientsSeen: 38.0
Time point: 1755.0 | PatientsSeen: 39.0
Time point: 1802.0 | PatientsSeen: 40.0
Time point: 1850.0 | PatientsSeen: 41.0
Time point: 1898.0 | PatientsSeen: 42.0
Time point: 1947.0 | PatientsSeen: 43.0
Time point: 1993.0 | PatientsSeen: 44.0
Time point: 2042.0 | PatientsSeen: 45.0
Time point: 2089.0 | PatientsSeen: 46.0
Time point: 2138.0 | PatientsSeen: 47.0
Time point: 2185.0 | PatientsSeen: 48.0
Time point: 2234.0 | PatientsSeen: 49.0
Time point: 2280.0 | PatientsSeen: 50.0
Time point: 2331.0 | PatientsSeen: 51.0
Time point: 2378.0 | PatientsSeen: 52.0
Time point: 2427.0 | PatientsSeen: 53.0
Time point: 2476.0 | PatientsSeen: 54.0
Time point: 2520.0 | PatientsSeen: 55.0
Time point: 2572.0 | PatientsSeen: 56.0
Time point: 2617.0 | PatientsSeen: 57.0
Time point: 2666.0 | PatientsSeen: 58.0
Time point: 2714.0 | PatientsSeen: 59.0
Time point: 2763.0 | PatientsSeen: 60.0
Time point: 2811.0 | PatientsSeen: 61.0
Time point: 2858.0 | PatientsSeen: 62.0
Time point: 2906.0 | PatientsSeen: 63.0
Time point: 2954.0 | PatientsSeen: 64.0
Time point: 3003.0 | PatientsSeen: 65.0
Time point: 3051.0 | PatientsSeen: 66.0
Time point: 3097.0 | PatientsSeen: 67.0
Time point: 3146.0 | PatientsSeen: 68.0
Time point: 3196.0 | PatientsSeen: 69.0
Time point: 3243.0 | PatientsSeen: 70.0
Time point: 3292.0 | PatientsSeen: 71.0
Time point: 3339.0 | PatientsSeen: 72.0
Time point: 3386.0 | PatientsSeen: 73.0
Time point: 3434.0 | PatientsSeen: 74.0
Time point: 3481.0 | PatientsSeen: 75.0
Time point: 3530.0 | PatientsSeen: 76.0
