Time point: 237.0 | PatientsSeen: 1.0
Time point: 449.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 872.0 | PatientsSeen: 4.0
Time point: 1083.0 | PatientsSeen: 5.0
Time point: 1293.0 | PatientsSeen: 6.0
Time point: 1504.0 | PatientsSeen: 7.0
Time point: 1713.0 | PatientsSeen: 8.0
Time point: 1928.0 | PatientsSeen: 9.0
Time point: 2141.0 | PatientsSeen: 10.0
Time point: 2353.0 | PatientsSeen: 11.0
Time point: 2566.0 | PatientsSeen: 12.0
Time point: 2777.0 | PatientsSeen: 13.0
Time point: 2992.0 | PatientsSeen: 14.0
Time point: 3203.0 | PatientsSeen: 15.0
Time point: 3416.0 | PatientsSeen: 16.0
Time point: 3625.0 | PatientsSeen: 17.0
Time point: 3835.0 | PatientsSeen: 18.0
Time point: 4045.0 | PatientsSeen: 19.0
Time point: 4256.0 | PatientsSeen: 20.0
Time point: 4467.0 | PatientsSeen: 21.0
Time point: 4680.0 | PatientsSeen: 22.0
Time point: 4896.0 | PatientsSeen: 23.0
Time point: 5106.0 | PatientsSeen: 24.0
Time point: 5317.0 | PatientsSeen: 25.0
Time point: 5528.0 | PatientsSeen: 26.0
Time point: 5740.0 | PatientsSeen: 27.0
Time point: 5950.0 | PatientsSeen: 28.0
Time point: 6161.0 | PatientsSeen: 29.0
Time point: 6373.0 | PatientsSeen: 30.0
Time point: 6586.0 | PatientsSeen: 31.0
Time point: 6797.0 | PatientsSeen: 32.0
Time point: 7009.0 | PatientsSeen: 33.0
Time point: 7219.0 | PatientsSeen: 34.0
Time point: 7431.0 | PatientsSeen: 35.0
Time point: 7641.0 | PatientsSeen: 36.0
Time point: 7853.0 | PatientsSeen: 37.0
Time point: 8063.0 | PatientsSeen: 38.0
Time point: 8280.0 | PatientsSeen: 39.0
Time point: 8490.0 | PatientsSeen: 40.0
Time point: 8701.0 | PatientsSeen: 41.0
Time point: 8912.0 | PatientsSeen: 42.0
Time point: 9123.0 | PatientsSeen: 43.0
Time point: 9333.0 | PatientsSeen: 44.0
Time point: 9545.0 | PatientsSeen: 45.0
Time point: 9757.0 | PatientsSeen: 46.0
Time point: 9970.0 | PatientsSeen: 47.0
Time point: 10182.0 | PatientsSeen: 48.0
Time point: 10393.0 | PatientsSeen: 49.0
Time point: 10603.0 | PatientsSeen: 50.0
Time point: 10814.0 | PatientsSeen: 51.0
Time point: 11024.0 | PatientsSeen: 52.0
Time point: 11237.0 | PatientsSeen: 53.0
