Time point: 258.0 | PatientsSeen: 1.0
Time point: 467.0 | PatientsSeen: 2.0
Time point: 677.0 | PatientsSeen: 3.0
Time point: 887.0 | PatientsSeen: 4.0
Time point: 1097.0 | PatientsSeen: 5.0
Time point: 1308.0 | PatientsSeen: 6.0
Time point: 1517.0 | PatientsSeen: 7.0
Time point: 1727.0 | PatientsSeen: 8.0
Time point: 1937.0 | PatientsSeen: 9.0
Time point: 2148.0 | PatientsSeen: 10.0
Time point: 2357.0 | PatientsSeen: 11.0
Time point: 2568.0 | PatientsSeen: 12.0
Time point: 2777.0 | PatientsSeen: 13.0
Time point: 2987.0 | PatientsSeen: 14.0
Time point: 3196.0 | PatientsSeen: 15.0
