Time point: 243.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 869.0 | PatientsSeen: 4.0
Time point: 1080.0 | PatientsSeen: 5.0
Time point: 1290.0 | PatientsSeen: 6.0
Time point: 1500.0 | PatientsSeen: 7.0
Time point: 1708.0 | PatientsSeen: 8.0
Time point: 1916.0 | PatientsSeen: 9.0
Time point: 2125.0 | PatientsSeen: 10.0
Time point: 2336.0 | PatientsSeen: 11.0
Time point: 2545.0 | PatientsSeen: 12.0
Time point: 2754.0 | PatientsSeen: 13.0
Time point: 2965.0 | PatientsSeen: 14.0
Time point: 3174.0 | PatientsSeen: 15.0
Time point: 3385.0 | PatientsSeen: 16.0
Time point: 3594.0 | PatientsSeen: 17.0
Time point: 3805.0 | PatientsSeen: 18.0
Time point: 4016.0 | PatientsSeen: 19.0
Time point: 4226.0 | PatientsSeen: 20.0
Time point: 4436.0 | PatientsSeen: 21.0
Time point: 4646.0 | PatientsSeen: 22.0
Time point: 4856.0 | PatientsSeen: 23.0
Time point: 5067.0 | PatientsSeen: 24.0
Time point: 5275.0 | PatientsSeen: 25.0
Time point: 5485.0 | PatientsSeen: 26.0
Time point: 5695.0 | PatientsSeen: 27.0
Time point: 5904.0 | PatientsSeen: 28.0
