Time point: 249.0 | PatientsSeen: 1.0
Time point: 459.0 | PatientsSeen: 2.0
Time point: 671.0 | PatientsSeen: 3.0
Time point: 884.0 | PatientsSeen: 4.0
Time point: 1095.0 | PatientsSeen: 5.0
Time point: 1307.0 | PatientsSeen: 6.0
Time point: 1516.0 | PatientsSeen: 7.0
Time point: 1728.0 | PatientsSeen: 8.0
Time point: 1939.0 | PatientsSeen: 9.0
Time point: 2150.0 | PatientsSeen: 10.0
Time point: 2362.0 | PatientsSeen: 11.0
Time point: 2574.0 | PatientsSeen: 12.0
Time point: 2787.0 | PatientsSeen: 13.0
Time point: 2999.0 | PatientsSeen: 14.0
Time point: 3210.0 | PatientsSeen: 15.0
Time point: 3424.0 | PatientsSeen: 16.0
Time point: 3634.0 | PatientsSeen: 17.0
Time point: 3846.0 | PatientsSeen: 18.0
Time point: 4055.0 | PatientsSeen: 19.0
Time point: 4268.0 | PatientsSeen: 20.0
Time point: 4478.0 | PatientsSeen: 21.0
Time point: 4692.0 | PatientsSeen: 22.0
Time point: 4902.0 | PatientsSeen: 23.0
Time point: 5114.0 | PatientsSeen: 24.0
Time point: 5327.0 | PatientsSeen: 25.0
Time point: 5538.0 | PatientsSeen: 26.0
Time point: 5749.0 | PatientsSeen: 27.0
Time point: 5961.0 | PatientsSeen: 28.0
Time point: 6174.0 | PatientsSeen: 29.0
Time point: 6387.0 | PatientsSeen: 30.0
Time point: 6598.0 | PatientsSeen: 31.0
Time point: 6809.0 | PatientsSeen: 32.0
Time point: 7021.0 | PatientsSeen: 33.0
Time point: 7236.0 | PatientsSeen: 34.0
Time point: 7450.0 | PatientsSeen: 35.0
Time point: 7661.0 | PatientsSeen: 36.0
Time point: 7871.0 | PatientsSeen: 37.0
Time point: 8083.0 | PatientsSeen: 38.0
Time point: 8294.0 | PatientsSeen: 39.0
Time point: 8504.0 | PatientsSeen: 40.0
