Time point: 252.0 | PatientsSeen: 1.0
Time point: 463.0 | PatientsSeen: 2.0
Time point: 673.0 | PatientsSeen: 3.0
Time point: 884.0 | PatientsSeen: 4.0
Time point: 1095.0 | PatientsSeen: 5.0
Time point: 1304.0 | PatientsSeen: 6.0
Time point: 1516.0 | PatientsSeen: 7.0
Time point: 1725.0 | PatientsSeen: 8.0
Time point: 1937.0 | PatientsSeen: 9.0
Time point: 2147.0 | PatientsSeen: 10.0
Time point: 2359.0 | PatientsSeen: 11.0
Time point: 2569.0 | PatientsSeen: 12.0
Time point: 2780.0 | PatientsSeen: 13.0
Time point: 2990.0 | PatientsSeen: 14.0
Time point: 3201.0 | PatientsSeen: 15.0
Time point: 3413.0 | PatientsSeen: 16.0
Time point: 3623.0 | PatientsSeen: 17.0
Time point: 3832.0 | PatientsSeen: 18.0
Time point: 4043.0 | PatientsSeen: 19.0
Time point: 4253.0 | PatientsSeen: 20.0
Time point: 4464.0 | PatientsSeen: 21.0
Time point: 4674.0 | PatientsSeen: 22.0
Time point: 4886.0 | PatientsSeen: 23.0
Time point: 5095.0 | PatientsSeen: 24.0
Time point: 5305.0 | PatientsSeen: 25.0
Time point: 5514.0 | PatientsSeen: 26.0
Time point: 5723.0 | PatientsSeen: 27.0
