Time point: 242.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 660.0 | PatientsSeen: 3.0
Time point: 871.0 | PatientsSeen: 4.0
Time point: 1082.0 | PatientsSeen: 5.0
Time point: 1291.0 | PatientsSeen: 6.0
Time point: 1501.0 | PatientsSeen: 7.0
Time point: 1711.0 | PatientsSeen: 8.0
Time point: 1922.0 | PatientsSeen: 9.0
Time point: 2131.0 | PatientsSeen: 10.0
Time point: 2339.0 | PatientsSeen: 11.0
Time point: 2549.0 | PatientsSeen: 12.0
Time point: 2759.0 | PatientsSeen: 13.0
Time point: 2969.0 | PatientsSeen: 14.0
Time point: 3179.0 | PatientsSeen: 15.0
Time point: 3388.0 | PatientsSeen: 16.0
Time point: 3597.0 | PatientsSeen: 17.0
Time point: 3806.0 | PatientsSeen: 18.0
Time point: 4016.0 | PatientsSeen: 19.0
Time point: 4225.0 | PatientsSeen: 20.0
Time point: 4435.0 | PatientsSeen: 21.0
Time point: 4644.0 | PatientsSeen: 22.0
Time point: 4853.0 | PatientsSeen: 23.0
Time point: 5062.0 | PatientsSeen: 24.0
Time point: 5272.0 | PatientsSeen: 25.0
Time point: 5483.0 | PatientsSeen: 26.0
Time point: 5693.0 | PatientsSeen: 27.0
Time point: 5902.0 | PatientsSeen: 28.0
Time point: 6112.0 | PatientsSeen: 29.0
Time point: 6322.0 | PatientsSeen: 30.0
Time point: 6532.0 | PatientsSeen: 31.0
Time point: 6741.0 | PatientsSeen: 32.0
Time point: 6950.0 | PatientsSeen: 33.0
Time point: 7160.0 | PatientsSeen: 34.0
