Time point: 248.0 | PatientsSeen: 1.0
Time point: 300.0 | PatientsSeen: 2.0
Time point: 478.0 | PatientsSeen: 3.0
Time point: 844.0 | PatientsSeen: 4.0
Time point: 966.0 | PatientsSeen: 5.0
Time point: 1086.0 | PatientsSeen: 6.0
Time point: 1149.0 | PatientsSeen: 7.0
Time point: 1636.0 | PatientsSeen: 8.0
Time point: 2247.0 | PatientsSeen: 9.0
Time point: 2552.0 | PatientsSeen: 10.0
Time point: 2612.0 | PatientsSeen: 11.0
Time point: 2675.0 | PatientsSeen: 12.0
Time point: 2736.0 | PatientsSeen: 13.0
Time point: 2980.0 | PatientsSeen: 14.0
Time point: 3225.0 | PatientsSeen: 15.0
Time point: 3285.0 | PatientsSeen: 16.0
Time point: 3345.0 | PatientsSeen: 17.0
Time point: 3527.0 | PatientsSeen: 18.0
