Time point: 256.0 | PatientsSeen: 1.0
Time point: 464.0 | PatientsSeen: 2.0
Time point: 673.0 | PatientsSeen: 3.0
Time point: 882.0 | PatientsSeen: 4.0
Time point: 1090.0 | PatientsSeen: 5.0
Time point: 1300.0 | PatientsSeen: 6.0
Time point: 1511.0 | PatientsSeen: 7.0
Time point: 1721.0 | PatientsSeen: 8.0
Time point: 1929.0 | PatientsSeen: 9.0
Time point: 2139.0 | PatientsSeen: 10.0
Time point: 2350.0 | PatientsSeen: 11.0
Time point: 2560.0 | PatientsSeen: 12.0
Time point: 2771.0 | PatientsSeen: 13.0
Time point: 2981.0 | PatientsSeen: 14.0
Time point: 3192.0 | PatientsSeen: 15.0
Time point: 3401.0 | PatientsSeen: 16.0
Time point: 3611.0 | PatientsSeen: 17.0
Time point: 3821.0 | PatientsSeen: 18.0
Time point: 258.0 | PatientsSeen: 1.0
