Time point: 244.0 | PatientsSeen: 1.0
Time point: 430.0 | PatientsSeen: 2.0
Time point: 616.0 | PatientsSeen: 3.0
Time point: 802.0 | PatientsSeen: 4.0
Time point: 988.0 | PatientsSeen: 5.0
Time point: 1173.0 | PatientsSeen: 6.0
Time point: 1358.0 | PatientsSeen: 7.0
Time point: 1543.0 | PatientsSeen: 8.0
Time point: 1729.0 | PatientsSeen: 9.0
Time point: 1914.0 | PatientsSeen: 10.0
Time point: 2100.0 | PatientsSeen: 11.0
Time point: 2286.0 | PatientsSeen: 12.0
Time point: 2472.0 | PatientsSeen: 13.0
Time point: 2657.0 | PatientsSeen: 14.0
Time point: 2843.0 | PatientsSeen: 15.0
Time point: 3028.0 | PatientsSeen: 16.0
Time point: 3213.0 | PatientsSeen: 17.0
Time point: 3399.0 | PatientsSeen: 18.0
Time point: 3585.0 | PatientsSeen: 19.0
Time point: 3771.0 | PatientsSeen: 20.0
Time point: 3957.0 | PatientsSeen: 21.0
Time point: 4143.0 | PatientsSeen: 22.0
Time point: 4329.0 | PatientsSeen: 23.0
Time point: 4515.0 | PatientsSeen: 24.0
Time point: 4701.0 | PatientsSeen: 25.0
Time point: 4886.0 | PatientsSeen: 26.0
