Time point: 250.0 | PatientsSeen: 1.0
Time point: 460.0 | PatientsSeen: 2.0
Time point: 228.0 | PatientsSeen: 1.0
Time point: 414.0 | PatientsSeen: 2.0
Time point: 599.0 | PatientsSeen: 3.0
Time point: 785.0 | PatientsSeen: 4.0
Time point: 970.0 | PatientsSeen: 5.0
Time point: 1155.0 | PatientsSeen: 6.0
Time point: 1340.0 | PatientsSeen: 7.0
Time point: 1525.0 | PatientsSeen: 8.0
Time point: 1710.0 | PatientsSeen: 9.0
Time point: 1896.0 | PatientsSeen: 10.0
Time point: 2082.0 | PatientsSeen: 11.0
Time point: 2268.0 | PatientsSeen: 12.0
Time point: 2454.0 | PatientsSeen: 13.0
Time point: 2639.0 | PatientsSeen: 14.0
Time point: 2825.0 | PatientsSeen: 15.0
Time point: 3010.0 | PatientsSeen: 16.0
Time point: 3196.0 | PatientsSeen: 17.0
Time point: 3382.0 | PatientsSeen: 18.0
Time point: 3568.0 | PatientsSeen: 19.0
Time point: 3753.0 | PatientsSeen: 20.0
Time point: 3939.0 | PatientsSeen: 21.0
Time point: 4125.0 | PatientsSeen: 22.0
Time point: 4310.0 | PatientsSeen: 23.0
Time point: 4495.0 | PatientsSeen: 24.0
Time point: 4681.0 | PatientsSeen: 25.0
Time point: 4866.0 | PatientsSeen: 26.0
