Time point: 241.0 | PatientsSeen: 1.0
Time point: 450.0 | PatientsSeen: 2.0
Time point: 659.0 | PatientsSeen: 3.0
Time point: 868.0 | PatientsSeen: 4.0
Time point: 1075.0 | PatientsSeen: 5.0
Time point: 1283.0 | PatientsSeen: 6.0
Time point: 1491.0 | PatientsSeen: 7.0
Time point: 1700.0 | PatientsSeen: 8.0
Time point: 1909.0 | PatientsSeen: 9.0
Time point: 2119.0 | PatientsSeen: 10.0
Time point: 2330.0 | PatientsSeen: 11.0
Time point: 2540.0 | PatientsSeen: 12.0
Time point: 2750.0 | PatientsSeen: 13.0
Time point: 2958.0 | PatientsSeen: 14.0
Time point: 3168.0 | PatientsSeen: 15.0
Time point: 3378.0 | PatientsSeen: 16.0
Time point: 3586.0 | PatientsSeen: 17.0
