Time point: 262.0 | PatientsSeen: 1.0
Time point: 470.0 | PatientsSeen: 2.0
Time point: 681.0 | PatientsSeen: 3.0
Time point: 892.0 | PatientsSeen: 4.0
Time point: 1103.0 | PatientsSeen: 5.0
Time point: 1316.0 | PatientsSeen: 6.0
Time point: 1529.0 | PatientsSeen: 7.0
Time point: 1741.0 | PatientsSeen: 8.0
Time point: 1953.0 | PatientsSeen: 9.0
Time point: 2165.0 | PatientsSeen: 10.0
Time point: 2377.0 | PatientsSeen: 11.0
Time point: 2588.0 | PatientsSeen: 12.0
Time point: 2801.0 | PatientsSeen: 13.0
Time point: 3012.0 | PatientsSeen: 14.0
Time point: 3223.0 | PatientsSeen: 15.0
Time point: 3433.0 | PatientsSeen: 16.0
Time point: 3644.0 | PatientsSeen: 17.0
Time point: 3856.0 | PatientsSeen: 18.0
Time point: 4067.0 | PatientsSeen: 19.0
Time point: 4278.0 | PatientsSeen: 20.0
Time point: 4490.0 | PatientsSeen: 21.0
