Time point: 226.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 645.0 | PatientsSeen: 3.0
Time point: 855.0 | PatientsSeen: 4.0
Time point: 1066.0 | PatientsSeen: 5.0
Time point: 1275.0 | PatientsSeen: 6.0
Time point: 1485.0 | PatientsSeen: 7.0
Time point: 1695.0 | PatientsSeen: 8.0
Time point: 1905.0 | PatientsSeen: 9.0
Time point: 2115.0 | PatientsSeen: 10.0
Time point: 2326.0 | PatientsSeen: 11.0
Time point: 2536.0 | PatientsSeen: 12.0
Time point: 2746.0 | PatientsSeen: 13.0
Time point: 2956.0 | PatientsSeen: 14.0
Time point: 3165.0 | PatientsSeen: 15.0
Time point: 3376.0 | PatientsSeen: 16.0
Time point: 3587.0 | PatientsSeen: 17.0
Time point: 3798.0 | PatientsSeen: 18.0
Time point: 4009.0 | PatientsSeen: 19.0
Time point: 4219.0 | PatientsSeen: 20.0
Time point: 4429.0 | PatientsSeen: 21.0
Time point: 4639.0 | PatientsSeen: 22.0
Time point: 4849.0 | PatientsSeen: 23.0
Time point: 5059.0 | PatientsSeen: 24.0
Time point: 5270.0 | PatientsSeen: 25.0
