Time point: 249.0 | PatientsSeen: 1.0
Time point: 459.0 | PatientsSeen: 2.0
Time point: 676.0 | PatientsSeen: 3.0
Time point: 887.0 | PatientsSeen: 4.0
Time point: 1098.0 | PatientsSeen: 5.0
Time point: 1308.0 | PatientsSeen: 6.0
Time point: 1520.0 | PatientsSeen: 7.0
Time point: 1731.0 | PatientsSeen: 8.0
Time point: 1947.0 | PatientsSeen: 9.0
Time point: 2164.0 | PatientsSeen: 10.0
Time point: 2376.0 | PatientsSeen: 11.0
Time point: 2587.0 | PatientsSeen: 12.0
Time point: 2798.0 | PatientsSeen: 13.0
Time point: 3011.0 | PatientsSeen: 14.0
Time point: 3223.0 | PatientsSeen: 15.0
Time point: 3434.0 | PatientsSeen: 16.0
Time point: 3644.0 | PatientsSeen: 17.0
Time point: 3856.0 | PatientsSeen: 18.0
Time point: 4067.0 | PatientsSeen: 19.0
Time point: 4280.0 | PatientsSeen: 20.0
Time point: 4491.0 | PatientsSeen: 21.0
Time point: 4703.0 | PatientsSeen: 22.0
Time point: 4915.0 | PatientsSeen: 23.0
