Time point: 225.0 | PatientsSeen: 1.0
Time point: 435.0 | PatientsSeen: 2.0
Time point: 643.0 | PatientsSeen: 3.0
Time point: 853.0 | PatientsSeen: 4.0
Time point: 1064.0 | PatientsSeen: 5.0
Time point: 1272.0 | PatientsSeen: 6.0
Time point: 1482.0 | PatientsSeen: 7.0
Time point: 1691.0 | PatientsSeen: 8.0
Time point: 1899.0 | PatientsSeen: 9.0
Time point: 2109.0 | PatientsSeen: 10.0
Time point: 255.0 | PatientsSeen: 1.0
Time point: 465.0 | PatientsSeen: 2.0
Time point: 673.0 | PatientsSeen: 3.0
Time point: 883.0 | PatientsSeen: 4.0
Time point: 1093.0 | PatientsSeen: 5.0
Time point: 1302.0 | PatientsSeen: 6.0
Time point: 1513.0 | PatientsSeen: 7.0
Time point: 1723.0 | PatientsSeen: 8.0
