Time point: 245.0 | PatientsSeen: 1.0
Time point: 431.0 | PatientsSeen: 2.0
Time point: 616.0 | PatientsSeen: 3.0
Time point: 801.0 | PatientsSeen: 4.0
Time point: 987.0 | PatientsSeen: 5.0
Time point: 1173.0 | PatientsSeen: 6.0
Time point: 1358.0 | PatientsSeen: 7.0
Time point: 1544.0 | PatientsSeen: 8.0
Time point: 1730.0 | PatientsSeen: 9.0
Time point: 1915.0 | PatientsSeen: 10.0
Time point: 2100.0 | PatientsSeen: 11.0
Time point: 2285.0 | PatientsSeen: 12.0
Time point: 2470.0 | PatientsSeen: 13.0
Time point: 2656.0 | PatientsSeen: 14.0
Time point: 2842.0 | PatientsSeen: 15.0
Time point: 3028.0 | PatientsSeen: 16.0
Time point: 3214.0 | PatientsSeen: 17.0
Time point: 3399.0 | PatientsSeen: 18.0
