Time point: 258.0 | PatientsSeen: 1.0
Time point: 469.0 | PatientsSeen: 2.0
Time point: 678.0 | PatientsSeen: 3.0
Time point: 887.0 | PatientsSeen: 4.0
Time point: 1095.0 | PatientsSeen: 5.0
Time point: 1305.0 | PatientsSeen: 6.0
Time point: 1515.0 | PatientsSeen: 7.0
Time point: 1724.0 | PatientsSeen: 8.0
Time point: 1934.0 | PatientsSeen: 9.0
Time point: 2144.0 | PatientsSeen: 10.0
Time point: 2353.0 | PatientsSeen: 11.0
Time point: 2564.0 | PatientsSeen: 12.0
Time point: 2775.0 | PatientsSeen: 13.0
Time point: 2983.0 | PatientsSeen: 14.0
Time point: 3194.0 | PatientsSeen: 15.0
Time point: 3404.0 | PatientsSeen: 16.0
Time point: 3614.0 | PatientsSeen: 17.0
Time point: 3824.0 | PatientsSeen: 18.0
Time point: 4033.0 | PatientsSeen: 19.0
Time point: 4242.0 | PatientsSeen: 20.0
Time point: 4452.0 | PatientsSeen: 21.0
