Time point: 218.0 | PatientsSeen: 1.0
Time point: 261.0 | PatientsSeen: 2.0
Time point: 319.0 | PatientsSeen: 3.0
Time point: 381.0 | PatientsSeen: 4.0
Time point: 443.0 | PatientsSeen: 5.0
Time point: 485.0 | PatientsSeen: 6.0
Time point: 548.0 | PatientsSeen: 7.0
Time point: 613.0 | PatientsSeen: 8.0
Time point: 675.0 | PatientsSeen: 9.0
Time point: 737.0 | PatientsSeen: 10.0
Time point: 800.0 | PatientsSeen: 11.0
Time point: 863.0 | PatientsSeen: 12.0
Time point: 928.0 | PatientsSeen: 13.0
Time point: 991.0 | PatientsSeen: 14.0
Time point: 1053.0 | PatientsSeen: 15.0
Time point: 1117.0 | PatientsSeen: 16.0
Time point: 1178.0 | PatientsSeen: 17.0
Time point: 1244.0 | PatientsSeen: 18.0
Time point: 1306.0 | PatientsSeen: 19.0
Time point: 1367.0 | PatientsSeen: 20.0
Time point: 1430.0 | PatientsSeen: 21.0
Time point: 1494.0 | PatientsSeen: 22.0
Time point: 1557.0 | PatientsSeen: 23.0
Time point: 1621.0 | PatientsSeen: 24.0
Time point: 1684.0 | PatientsSeen: 25.0
Time point: 1746.0 | PatientsSeen: 26.0
Time point: 1810.0 | PatientsSeen: 27.0
Time point: 1873.0 | PatientsSeen: 28.0
Time point: 1936.0 | PatientsSeen: 29.0
Time point: 1999.0 | PatientsSeen: 30.0
Time point: 2061.0 | PatientsSeen: 31.0
Time point: 2125.0 | PatientsSeen: 32.0
Time point: 2187.0 | PatientsSeen: 33.0
Time point: 2252.0 | PatientsSeen: 34.0
Time point: 2313.0 | PatientsSeen: 35.0
Time point: 2375.0 | PatientsSeen: 36.0
Time point: 2439.0 | PatientsSeen: 37.0
Time point: 2502.0 | PatientsSeen: 38.0
Time point: 2565.0 | PatientsSeen: 39.0
Time point: 2628.0 | PatientsSeen: 40.0
Time point: 2690.0 | PatientsSeen: 41.0
Time point: 2755.0 | PatientsSeen: 42.0
Time point: 2818.0 | PatientsSeen: 43.0
Time point: 2880.0 | PatientsSeen: 44.0
Time point: 2942.0 | PatientsSeen: 45.0
Time point: 3006.0 | PatientsSeen: 46.0
Time point: 3069.0 | PatientsSeen: 47.0
Time point: 3132.0 | PatientsSeen: 48.0
Time point: 3195.0 | PatientsSeen: 49.0
Time point: 3258.0 | PatientsSeen: 50.0
Time point: 3322.0 | PatientsSeen: 51.0
Time point: 3383.0 | PatientsSeen: 52.0
Time point: 3447.0 | PatientsSeen: 53.0
Time point: 3511.0 | PatientsSeen: 54.0
Time point: 3572.0 | PatientsSeen: 55.0
Time point: 3637.0 | PatientsSeen: 56.0
Time point: 3699.0 | PatientsSeen: 57.0
Time point: 3763.0 | PatientsSeen: 58.0
Time point: 3826.0 | PatientsSeen: 59.0
Time point: 3888.0 | PatientsSeen: 60.0
Time point: 3952.0 | PatientsSeen: 61.0
Time point: 4015.0 | PatientsSeen: 62.0
Time point: 4079.0 | PatientsSeen: 63.0
Time point: 4142.0 | PatientsSeen: 64.0
Time point: 4204.0 | PatientsSeen: 65.0
Time point: 4265.0 | PatientsSeen: 66.0
Time point: 4330.0 | PatientsSeen: 67.0
Time point: 4392.0 | PatientsSeen: 68.0
Time point: 4457.0 | PatientsSeen: 69.0
Time point: 4519.0 | PatientsSeen: 70.0
Time point: 4579.0 | PatientsSeen: 71.0
Time point: 4645.0 | PatientsSeen: 72.0
Time point: 4708.0 | PatientsSeen: 73.0
Time point: 4771.0 | PatientsSeen: 74.0
Time point: 4835.0 | PatientsSeen: 75.0
Time point: 4895.0 | PatientsSeen: 76.0
Time point: 4960.0 | PatientsSeen: 77.0
Time point: 5022.0 | PatientsSeen: 78.0
Time point: 5086.0 | PatientsSeen: 79.0
Time point: 5150.0 | PatientsSeen: 80.0
Time point: 5212.0 | PatientsSeen: 81.0
Time point: 5272.0 | PatientsSeen: 82.0
Time point: 5338.0 | PatientsSeen: 83.0
Time point: 5401.0 | PatientsSeen: 84.0
Time point: 5463.0 | PatientsSeen: 85.0
Time point: 5527.0 | PatientsSeen: 86.0
Time point: 5588.0 | PatientsSeen: 87.0
Time point: 5653.0 | PatientsSeen: 88.0
Time point: 5716.0 | PatientsSeen: 89.0
Time point: 5778.0 | PatientsSeen: 90.0
Time point: 5841.0 | PatientsSeen: 91.0
Time point: 5905.0 | PatientsSeen: 92.0
Time point: 5967.0 | PatientsSeen: 93.0
Time point: 6030.0 | PatientsSeen: 94.0
Time point: 6095.0 | PatientsSeen: 95.0
Time point: 6156.0 | PatientsSeen: 96.0
Time point: 6221.0 | PatientsSeen: 97.0
Time point: 6282.0 | PatientsSeen: 98.0
Time point: 6346.0 | PatientsSeen: 99.0
Time point: 6407.0 | PatientsSeen: 100.0
