Time point: 223.0 | PatientsSeen: 1.0
Time point: 408.0 | PatientsSeen: 2.0
Time point: 593.0 | PatientsSeen: 3.0
Time point: 779.0 | PatientsSeen: 4.0
Time point: 965.0 | PatientsSeen: 5.0
Time point: 1151.0 | PatientsSeen: 6.0
Time point: 1337.0 | PatientsSeen: 7.0
Time point: 1523.0 | PatientsSeen: 8.0
Time point: 1709.0 | PatientsSeen: 9.0
Time point: 1894.0 | PatientsSeen: 10.0
Time point: 2080.0 | PatientsSeen: 11.0
Time point: 2266.0 | PatientsSeen: 12.0
Time point: 2452.0 | PatientsSeen: 13.0
Time point: 2638.0 | PatientsSeen: 14.0
Time point: 2824.0 | PatientsSeen: 15.0
Time point: 3010.0 | PatientsSeen: 16.0
Time point: 3196.0 | PatientsSeen: 17.0
Time point: 3382.0 | PatientsSeen: 18.0
Time point: 3567.0 | PatientsSeen: 19.0
Time point: 3753.0 | PatientsSeen: 20.0
Time point: 3939.0 | PatientsSeen: 21.0
Time point: 4124.0 | PatientsSeen: 22.0
Time point: 4309.0 | PatientsSeen: 23.0
Time point: 4494.0 | PatientsSeen: 24.0
Time point: 4680.0 | PatientsSeen: 25.0
Time point: 4866.0 | PatientsSeen: 26.0
Time point: 5051.0 | PatientsSeen: 27.0
Time point: 5237.0 | PatientsSeen: 28.0
Time point: 5423.0 | PatientsSeen: 29.0
Time point: 5608.0 | PatientsSeen: 30.0
Time point: 5793.0 | PatientsSeen: 31.0
Time point: 5979.0 | PatientsSeen: 32.0
Time point: 6165.0 | PatientsSeen: 33.0
Time point: 6351.0 | PatientsSeen: 34.0
Time point: 6537.0 | PatientsSeen: 35.0
Time point: 6722.0 | PatientsSeen: 36.0
Time point: 6908.0 | PatientsSeen: 37.0
Time point: 7093.0 | PatientsSeen: 38.0
Time point: 7279.0 | PatientsSeen: 39.0
Time point: 7464.0 | PatientsSeen: 40.0
Time point: 7650.0 | PatientsSeen: 41.0
Time point: 7835.0 | PatientsSeen: 42.0
Time point: 8020.0 | PatientsSeen: 43.0
Time point: 8206.0 | PatientsSeen: 44.0
Time point: 8392.0 | PatientsSeen: 45.0
Time point: 8578.0 | PatientsSeen: 46.0
Time point: 8764.0 | PatientsSeen: 47.0
Time point: 8949.0 | PatientsSeen: 48.0
Time point: 9135.0 | PatientsSeen: 49.0
