Time point: 248.0 | PatientsSeen: 1.0
Time point: 459.0 | PatientsSeen: 2.0
Time point: 669.0 | PatientsSeen: 3.0
Time point: 880.0 | PatientsSeen: 4.0
Time point: 1090.0 | PatientsSeen: 5.0
Time point: 1300.0 | PatientsSeen: 6.0
Time point: 1513.0 | PatientsSeen: 7.0
Time point: 1723.0 | PatientsSeen: 8.0
Time point: 1935.0 | PatientsSeen: 9.0
Time point: 2146.0 | PatientsSeen: 10.0
Time point: 2357.0 | PatientsSeen: 11.0
Time point: 2568.0 | PatientsSeen: 12.0
Time point: 2781.0 | PatientsSeen: 13.0
Time point: 2993.0 | PatientsSeen: 14.0
Time point: 3205.0 | PatientsSeen: 15.0
Time point: 3416.0 | PatientsSeen: 16.0
Time point: 3627.0 | PatientsSeen: 17.0
Time point: 3840.0 | PatientsSeen: 18.0
Time point: 4051.0 | PatientsSeen: 19.0
Time point: 4262.0 | PatientsSeen: 20.0
Time point: 4474.0 | PatientsSeen: 21.0
