Time point: 226.0 | PatientsSeen: 1.0
Time point: 437.0 | PatientsSeen: 2.0
Time point: 646.0 | PatientsSeen: 3.0
Time point: 856.0 | PatientsSeen: 4.0
Time point: 1066.0 | PatientsSeen: 5.0
Time point: 1277.0 | PatientsSeen: 6.0
Time point: 1488.0 | PatientsSeen: 7.0
Time point: 1698.0 | PatientsSeen: 8.0
Time point: 1908.0 | PatientsSeen: 9.0
Time point: 2117.0 | PatientsSeen: 10.0
Time point: 2326.0 | PatientsSeen: 11.0
Time point: 2536.0 | PatientsSeen: 12.0
Time point: 2745.0 | PatientsSeen: 13.0
Time point: 2955.0 | PatientsSeen: 14.0
Time point: 3163.0 | PatientsSeen: 15.0
Time point: 3373.0 | PatientsSeen: 16.0
Time point: 3583.0 | PatientsSeen: 17.0
Time point: 3792.0 | PatientsSeen: 18.0
Time point: 4001.0 | PatientsSeen: 19.0
Time point: 4212.0 | PatientsSeen: 20.0
Time point: 4421.0 | PatientsSeen: 21.0
Time point: 4630.0 | PatientsSeen: 22.0
Time point: 4839.0 | PatientsSeen: 23.0
Time point: 5050.0 | PatientsSeen: 24.0
Time point: 5260.0 | PatientsSeen: 25.0
Time point: 5469.0 | PatientsSeen: 26.0
Time point: 5680.0 | PatientsSeen: 27.0
Time point: 271.0 | PatientsSeen: 1.0
Time point: 482.0 | PatientsSeen: 2.0
Time point: 699.0 | PatientsSeen: 3.0
Time point: 910.0 | PatientsSeen: 4.0
Time point: 1122.0 | PatientsSeen: 5.0
Time point: 1333.0 | PatientsSeen: 6.0
Time point: 1544.0 | PatientsSeen: 7.0
Time point: 1754.0 | PatientsSeen: 8.0
Time point: 212.0 | PatientsSeen: 1.0
Time point: 398.0 | PatientsSeen: 2.0
Time point: 584.0 | PatientsSeen: 3.0
Time point: 770.0 | PatientsSeen: 4.0
Time point: 956.0 | PatientsSeen: 5.0
Time point: 1142.0 | PatientsSeen: 6.0
