Time point: 201.0 | PatientsSeen: 1.0
Time point: 253.0 | PatientsSeen: 2.0
Time point: 304.0 | PatientsSeen: 3.0
Time point: 353.0 | PatientsSeen: 4.0
Time point: 404.0 | PatientsSeen: 5.0
Time point: 455.0 | PatientsSeen: 6.0
Time point: 506.0 | PatientsSeen: 7.0
Time point: 556.0 | PatientsSeen: 8.0
Time point: 607.0 | PatientsSeen: 9.0
Time point: 659.0 | PatientsSeen: 10.0
Time point: 709.0 | PatientsSeen: 11.0
Time point: 759.0 | PatientsSeen: 12.0
Time point: 810.0 | PatientsSeen: 13.0
Time point: 860.0 | PatientsSeen: 14.0
Time point: 910.0 | PatientsSeen: 15.0
Time point: 961.0 | PatientsSeen: 16.0
Time point: 1012.0 | PatientsSeen: 17.0
Time point: 1062.0 | PatientsSeen: 18.0
Time point: 1114.0 | PatientsSeen: 19.0
Time point: 1166.0 | PatientsSeen: 20.0
Time point: 1216.0 | PatientsSeen: 21.0
Time point: 1266.0 | PatientsSeen: 22.0
Time point: 1317.0 | PatientsSeen: 23.0
Time point: 1369.0 | PatientsSeen: 24.0
Time point: 1419.0 | PatientsSeen: 25.0
Time point: 1470.0 | PatientsSeen: 26.0
Time point: 1522.0 | PatientsSeen: 27.0
Time point: 1574.0 | PatientsSeen: 28.0
Time point: 1625.0 | PatientsSeen: 29.0
Time point: 1676.0 | PatientsSeen: 30.0
Time point: 1727.0 | PatientsSeen: 31.0
Time point: 1777.0 | PatientsSeen: 32.0
Time point: 1828.0 | PatientsSeen: 33.0
Time point: 1879.0 | PatientsSeen: 34.0
Time point: 1930.0 | PatientsSeen: 35.0
Time point: 1981.0 | PatientsSeen: 36.0
Time point: 2032.0 | PatientsSeen: 37.0
Time point: 2083.0 | PatientsSeen: 38.0
Time point: 2134.0 | PatientsSeen: 39.0
Time point: 2184.0 | PatientsSeen: 40.0
Time point: 2235.0 | PatientsSeen: 41.0
Time point: 2286.0 | PatientsSeen: 42.0
Time point: 2337.0 | PatientsSeen: 43.0
Time point: 2388.0 | PatientsSeen: 44.0
Time point: 2440.0 | PatientsSeen: 45.0
Time point: 2491.0 | PatientsSeen: 46.0
Time point: 2542.0 | PatientsSeen: 47.0
Time point: 2592.0 | PatientsSeen: 48.0
Time point: 2643.0 | PatientsSeen: 49.0
Time point: 2693.0 | PatientsSeen: 50.0
Time point: 2744.0 | PatientsSeen: 51.0
Time point: 2794.0 | PatientsSeen: 52.0
