Time point: 231.0 | PatientsSeen: 1.0
Time point: 417.0 | PatientsSeen: 2.0
Time point: 603.0 | PatientsSeen: 3.0
Time point: 788.0 | PatientsSeen: 4.0
Time point: 974.0 | PatientsSeen: 5.0
Time point: 1159.0 | PatientsSeen: 6.0
Time point: 1345.0 | PatientsSeen: 7.0
Time point: 1531.0 | PatientsSeen: 8.0
Time point: 1717.0 | PatientsSeen: 9.0
Time point: 1903.0 | PatientsSeen: 10.0
Time point: 2089.0 | PatientsSeen: 11.0
Time point: 2275.0 | PatientsSeen: 12.0
Time point: 2461.0 | PatientsSeen: 13.0
Time point: 2647.0 | PatientsSeen: 14.0
Time point: 2832.0 | PatientsSeen: 15.0
Time point: 3018.0 | PatientsSeen: 16.0
Time point: 3204.0 | PatientsSeen: 17.0
Time point: 3390.0 | PatientsSeen: 18.0
Time point: 3575.0 | PatientsSeen: 19.0
