Time point: 218.0 | Happiness: 1.0
Time point: 320.0 | Happiness: 2.0
Time point: 541.0 | Happiness: 3.0
Time point: 584.0 | Happiness: 4.0
Time point: 627.0 | Happiness: 5.0
Time point: 810.0 | Happiness: 6.0
Time point: 931.0 | Happiness: 7.0
Time point: 1117.0 | Happiness: 8.0
Time point: 1299.0 | Happiness: 9.0
Time point: 1315.0 | Happiness: 10.0
Time point: 1684.0 | Happiness: 11.0
Time point: 1787.0 | Happiness: 12.0
Time point: 1921.0 | Happiness: 13.0
Time point: 1936.0 | Happiness: 14.0
Time point: 1952.0 | Happiness: 15.0
Time point: 2105.0 | Happiness: 16.0
Time point: 2287.0 | Happiness: 17.0
Time point: 2334.0 | Happiness: 18.0
Time point: 2519.0 | Happiness: 19.0
Time point: 2702.0 | Happiness: 20.0
Time point: 2885.0 | Happiness: 21.0
Time point: 3067.0 | Happiness: 22.0
Time point: 3250.0 | Happiness: 23.0
Time point: 3391.0 | Happiness: 24.0
Time point: 3407.0 | Happiness: 25.0
Time point: 3435.0 | Happiness: 26.0
Time point: 3555.0 | Happiness: 27.0
Time point: 3739.0 | Happiness: 28.0
Time point: 3800.0 | Happiness: 29.0
Time point: 3982.0 | Happiness: 30.0
Time point: 4116.0 | Happiness: 31.0
Time point: 4288.0 | Happiness: 32.0
Time point: 4304.0 | Happiness: 33.0
Time point: 4320.0 | Happiness: 34.0
Time point: 4532.0 | Happiness: 35.0
Time point: 4714.0 | Happiness: 36.0
Time point: 4730.0 | Happiness: 37.0
Time point: 4976.0 | Happiness: 38.0
Time point: 5140.0 | Happiness: 39.0
Time point: 5324.0 | Happiness: 40.0
Time point: 5446.0 | Happiness: 41.0
Time point: 5628.0 | Happiness: 42.0
Time point: 5643.0 | Happiness: 43.0
Time point: 5659.0 | Happiness: 44.0
Time point: 5675.0 | Happiness: 45.0
Time point: 5691.0 | Happiness: 46.0
Time point: 5874.0 | Happiness: 47.0
Time point: 6057.0 | Happiness: 48.0
Time point: 6192.0 | Happiness: 49.0
Time point: 6382.0 | Happiness: 50.0
Time point: 6562.0 | Happiness: 51.0
Time point: 6578.0 | Happiness: 52.0
Time point: 6605.0 | Happiness: 53.0
Time point: 6848.0 | Happiness: 54.0
Time point: 7031.0 | Happiness: 55.0
Time point: 7215.0 | Happiness: 56.0
Time point: 7276.0 | Happiness: 57.0
Time point: 7460.0 | Happiness: 58.0
Time point: 7596.0 | Happiness: 59.0
Time point: 7611.0 | Happiness: 60.0
Time point: 7766.0 | Happiness: 61.0
Time point: 7904.0 | Happiness: 62.0
Time point: 7919.0 | Happiness: 63.0
Time point: 7935.0 | Happiness: 64.0
Time point: 8253.0 | Happiness: 65.0
Time point: 8437.0 | Happiness: 66.0
Time point: 8570.0 | Happiness: 67.0
Time point: 8619.0 | Happiness: 68.0
Time point: 8801.0 | Happiness: 69.0
Time point: 8984.0 | Happiness: 70.0
Time point: 9000.0 | Happiness: 71.0
Time point: 9169.0 | Happiness: 72.0
Time point: 9350.0 | Happiness: 73.0
Time point: 9431.0 | Happiness: 74.0
Time point: 9594.0 | Happiness: 75.0
Time point: 9667.0 | Happiness: 76.0
Time point: 9837.0 | Happiness: 77.0
Time point: 9852.0 | Happiness: 78.0
Time point: 9918.0 | Happiness: 79.0
Time point: 9934.0 | Happiness: 80.0
Time point: 9958.0 | Happiness: 81.0
Time point: 10143.0 | Happiness: 82.0
Time point: 10277.0 | Happiness: 83.0
Time point: 10468.0 | Happiness: 84.0
Time point: 10528.0 | Happiness: 85.0
Time point: 10693.0 | Happiness: 86.0
