Time point: 216.0 | PatientsSeen: 1.0
Time point: 402.0 | PatientsSeen: 2.0
Time point: 588.0 | PatientsSeen: 3.0
Time point: 774.0 | PatientsSeen: 4.0
Time point: 960.0 | PatientsSeen: 5.0
Time point: 1146.0 | PatientsSeen: 6.0
Time point: 1332.0 | PatientsSeen: 7.0
Time point: 1518.0 | PatientsSeen: 8.0
Time point: 1704.0 | PatientsSeen: 9.0
Time point: 1890.0 | PatientsSeen: 10.0
Time point: 2076.0 | PatientsSeen: 11.0
Time point: 2262.0 | PatientsSeen: 12.0
Time point: 2448.0 | PatientsSeen: 13.0
Time point: 2634.0 | PatientsSeen: 14.0
Time point: 2820.0 | PatientsSeen: 15.0
Time point: 3006.0 | PatientsSeen: 16.0
Time point: 3192.0 | PatientsSeen: 17.0
Time point: 3378.0 | PatientsSeen: 18.0
Time point: 3564.0 | PatientsSeen: 19.0
Time point: 3750.0 | PatientsSeen: 20.0
Time point: 3936.0 | PatientsSeen: 21.0
Time point: 4122.0 | PatientsSeen: 22.0
Time point: 4308.0 | PatientsSeen: 23.0
Time point: 4494.0 | PatientsSeen: 24.0
Time point: 4680.0 | PatientsSeen: 25.0
Time point: 4866.0 | PatientsSeen: 26.0
Time point: 5052.0 | PatientsSeen: 27.0
Time point: 5238.0 | PatientsSeen: 28.0
Time point: 5424.0 | PatientsSeen: 29.0
Time point: 5610.0 | PatientsSeen: 30.0
Time point: 5796.0 | PatientsSeen: 31.0
Time point: 5982.0 | PatientsSeen: 32.0
Time point: 6168.0 | PatientsSeen: 33.0
Time point: 6354.0 | PatientsSeen: 34.0
Time point: 6540.0 | PatientsSeen: 35.0
Time point: 6726.0 | PatientsSeen: 36.0
