Time point: 251.0 | PatientsSeen: 1.0
Time point: 461.0 | PatientsSeen: 2.0
Time point: 672.0 | PatientsSeen: 3.0
Time point: 882.0 | PatientsSeen: 4.0
Time point: 1094.0 | PatientsSeen: 5.0
Time point: 1305.0 | PatientsSeen: 6.0
Time point: 1516.0 | PatientsSeen: 7.0
Time point: 1731.0 | PatientsSeen: 8.0
Time point: 1943.0 | PatientsSeen: 9.0
Time point: 2154.0 | PatientsSeen: 10.0
Time point: 2366.0 | PatientsSeen: 11.0
Time point: 2577.0 | PatientsSeen: 12.0
Time point: 2787.0 | PatientsSeen: 13.0
Time point: 3000.0 | PatientsSeen: 14.0
Time point: 3210.0 | PatientsSeen: 15.0
Time point: 3423.0 | PatientsSeen: 16.0
Time point: 3638.0 | PatientsSeen: 17.0
Time point: 3849.0 | PatientsSeen: 18.0
Time point: 4059.0 | PatientsSeen: 19.0
Time point: 4273.0 | PatientsSeen: 20.0
Time point: 4487.0 | PatientsSeen: 21.0
Time point: 4698.0 | PatientsSeen: 22.0
Time point: 4910.0 | PatientsSeen: 23.0
Time point: 5120.0 | PatientsSeen: 24.0
Time point: 5332.0 | PatientsSeen: 25.0
Time point: 5543.0 | PatientsSeen: 26.0
Time point: 5754.0 | PatientsSeen: 27.0
Time point: 5965.0 | PatientsSeen: 28.0
Time point: 6179.0 | PatientsSeen: 29.0
Time point: 6394.0 | PatientsSeen: 30.0
Time point: 6604.0 | PatientsSeen: 31.0
Time point: 6817.0 | PatientsSeen: 32.0
Time point: 7027.0 | PatientsSeen: 33.0
Time point: 7239.0 | PatientsSeen: 34.0
Time point: 7448.0 | PatientsSeen: 35.0
Time point: 7660.0 | PatientsSeen: 36.0
Time point: 7869.0 | PatientsSeen: 37.0
Time point: 8080.0 | PatientsSeen: 38.0
Time point: 8290.0 | PatientsSeen: 39.0
Time point: 8504.0 | PatientsSeen: 40.0
Time point: 8715.0 | PatientsSeen: 41.0
Time point: 8929.0 | PatientsSeen: 42.0
Time point: 9141.0 | PatientsSeen: 43.0
Time point: 9352.0 | PatientsSeen: 44.0
Time point: 9562.0 | PatientsSeen: 45.0
Time point: 9771.0 | PatientsSeen: 46.0
Time point: 9983.0 | PatientsSeen: 47.0
Time point: 10194.0 | PatientsSeen: 48.0
Time point: 10405.0 | PatientsSeen: 49.0
Time point: 10617.0 | PatientsSeen: 50.0
Time point: 10827.0 | PatientsSeen: 51.0
Time point: 11039.0 | PatientsSeen: 52.0
Time point: 11250.0 | PatientsSeen: 53.0
