Time point: 242.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
Time point: 661.0 | PatientsSeen: 3.0
Time point: 869.0 | PatientsSeen: 4.0
Time point: 1079.0 | PatientsSeen: 5.0
Time point: 1288.0 | PatientsSeen: 6.0
Time point: 1499.0 | PatientsSeen: 7.0
Time point: 1709.0 | PatientsSeen: 8.0
Time point: 1919.0 | PatientsSeen: 9.0
Time point: 2129.0 | PatientsSeen: 10.0
Time point: 2339.0 | PatientsSeen: 11.0
Time point: 2548.0 | PatientsSeen: 12.0
Time point: 2758.0 | PatientsSeen: 13.0
Time point: 2968.0 | PatientsSeen: 14.0
Time point: 3177.0 | PatientsSeen: 15.0
Time point: 3385.0 | PatientsSeen: 16.0
Time point: 3595.0 | PatientsSeen: 17.0
Time point: 3805.0 | PatientsSeen: 18.0
Time point: 4014.0 | PatientsSeen: 19.0
Time point: 4224.0 | PatientsSeen: 20.0
Time point: 4434.0 | PatientsSeen: 21.0
Time point: 4644.0 | PatientsSeen: 22.0
Time point: 4854.0 | PatientsSeen: 23.0
Time point: 5065.0 | PatientsSeen: 24.0
Time point: 5275.0 | PatientsSeen: 25.0
Time point: 5484.0 | PatientsSeen: 26.0
