Time point: 284.0 | PatientsSeen: 1.0
Time point: 327.0 | PatientsSeen: 2.0
Time point: 370.0 | PatientsSeen: 3.0
Time point: 414.0 | PatientsSeen: 4.0
Time point: 466.0 | PatientsSeen: 5.0
Time point: 529.0 | PatientsSeen: 6.0
Time point: 572.0 | PatientsSeen: 7.0
Time point: 613.0 | PatientsSeen: 8.0
Time point: 657.0 | PatientsSeen: 9.0
Time point: 699.0 | PatientsSeen: 10.0
Time point: 760.0 | PatientsSeen: 11.0
Time point: 823.0 | PatientsSeen: 12.0
Time point: 868.0 | PatientsSeen: 13.0
Time point: 928.0 | PatientsSeen: 14.0
Time point: 991.0 | PatientsSeen: 15.0
Time point: 1052.0 | PatientsSeen: 16.0
Time point: 1094.0 | PatientsSeen: 17.0
Time point: 1138.0 | PatientsSeen: 18.0
Time point: 1184.0 | PatientsSeen: 19.0
Time point: 1243.0 | PatientsSeen: 20.0
Time point: 1306.0 | PatientsSeen: 21.0
Time point: 1368.0 | PatientsSeen: 22.0
Time point: 1431.0 | PatientsSeen: 23.0
Time point: 1493.0 | PatientsSeen: 24.0
Time point: 1558.0 | PatientsSeen: 25.0
Time point: 1619.0 | PatientsSeen: 26.0
Time point: 1685.0 | PatientsSeen: 27.0
Time point: 1745.0 | PatientsSeen: 28.0
Time point: 1810.0 | PatientsSeen: 29.0
Time point: 1871.0 | PatientsSeen: 30.0
Time point: 1935.0 | PatientsSeen: 31.0
Time point: 1996.0 | PatientsSeen: 32.0
Time point: 2063.0 | PatientsSeen: 33.0
Time point: 2126.0 | PatientsSeen: 34.0
Time point: 2186.0 | PatientsSeen: 35.0
Time point: 2250.0 | PatientsSeen: 36.0
Time point: 2313.0 | PatientsSeen: 37.0
Time point: 2376.0 | PatientsSeen: 38.0
Time point: 2441.0 | PatientsSeen: 39.0
Time point: 2503.0 | PatientsSeen: 40.0
Time point: 2567.0 | PatientsSeen: 41.0
Time point: 2628.0 | PatientsSeen: 42.0
Time point: 2692.0 | PatientsSeen: 43.0
Time point: 2753.0 | PatientsSeen: 44.0
Time point: 2817.0 | PatientsSeen: 45.0
Time point: 2880.0 | PatientsSeen: 46.0
Time point: 2944.0 | PatientsSeen: 47.0
Time point: 3007.0 | PatientsSeen: 48.0
Time point: 3069.0 | PatientsSeen: 49.0
Time point: 3133.0 | PatientsSeen: 50.0
Time point: 3195.0 | PatientsSeen: 51.0
Time point: 3259.0 | PatientsSeen: 52.0
Time point: 3321.0 | PatientsSeen: 53.0
Time point: 3382.0 | PatientsSeen: 54.0
Time point: 3447.0 | PatientsSeen: 55.0
Time point: 3508.0 | PatientsSeen: 56.0
Time point: 3572.0 | PatientsSeen: 57.0
Time point: 3637.0 | PatientsSeen: 58.0
Time point: 3698.0 | PatientsSeen: 59.0
Time point: 3763.0 | PatientsSeen: 60.0
Time point: 3824.0 | PatientsSeen: 61.0
