Time point: 241.0 | PatientsSeen: 1.0
Time point: 452.0 | PatientsSeen: 2.0
Time point: 663.0 | PatientsSeen: 3.0
Time point: 873.0 | PatientsSeen: 4.0
Time point: 1081.0 | PatientsSeen: 5.0
Time point: 1289.0 | PatientsSeen: 6.0
Time point: 1500.0 | PatientsSeen: 7.0
Time point: 1708.0 | PatientsSeen: 8.0
Time point: 1919.0 | PatientsSeen: 9.0
Time point: 2128.0 | PatientsSeen: 10.0
Time point: 2338.0 | PatientsSeen: 11.0
Time point: 2547.0 | PatientsSeen: 12.0
Time point: 2758.0 | PatientsSeen: 13.0
Time point: 2967.0 | PatientsSeen: 14.0
Time point: 3176.0 | PatientsSeen: 15.0
Time point: 3387.0 | PatientsSeen: 16.0
Time point: 3598.0 | PatientsSeen: 17.0
Time point: 3807.0 | PatientsSeen: 18.0
