Time point: 150.0 | PatientsSeen: 1.0
Time point: 201.0 | PatientsSeen: 2.0
Time point: 251.0 | PatientsSeen: 3.0
Time point: 301.0 | PatientsSeen: 4.0
Time point: 352.0 | PatientsSeen: 5.0
Time point: 403.0 | PatientsSeen: 6.0
Time point: 454.0 | PatientsSeen: 7.0
Time point: 505.0 | PatientsSeen: 8.0
Time point: 555.0 | PatientsSeen: 9.0
Time point: 606.0 | PatientsSeen: 10.0
Time point: 655.0 | PatientsSeen: 11.0
Time point: 706.0 | PatientsSeen: 12.0
Time point: 757.0 | PatientsSeen: 13.0
Time point: 809.0 | PatientsSeen: 14.0
Time point: 859.0 | PatientsSeen: 15.0
Time point: 911.0 | PatientsSeen: 16.0
Time point: 961.0 | PatientsSeen: 17.0
Time point: 1012.0 | PatientsSeen: 18.0
Time point: 1063.0 | PatientsSeen: 19.0
Time point: 1114.0 | PatientsSeen: 20.0
Time point: 1163.0 | PatientsSeen: 21.0
Time point: 1215.0 | PatientsSeen: 22.0
Time point: 1267.0 | PatientsSeen: 23.0
Time point: 1318.0 | PatientsSeen: 24.0
Time point: 1370.0 | PatientsSeen: 25.0
Time point: 1421.0 | PatientsSeen: 26.0
Time point: 1471.0 | PatientsSeen: 27.0
Time point: 1520.0 | PatientsSeen: 28.0
Time point: 1570.0 | PatientsSeen: 29.0
Time point: 1620.0 | PatientsSeen: 30.0
Time point: 1671.0 | PatientsSeen: 31.0
Time point: 1721.0 | PatientsSeen: 32.0
Time point: 1772.0 | PatientsSeen: 33.0
Time point: 1822.0 | PatientsSeen: 34.0
Time point: 1871.0 | PatientsSeen: 35.0
Time point: 1922.0 | PatientsSeen: 36.0
Time point: 1972.0 | PatientsSeen: 37.0
Time point: 2022.0 | PatientsSeen: 38.0
Time point: 2072.0 | PatientsSeen: 39.0
Time point: 2123.0 | PatientsSeen: 40.0
Time point: 2174.0 | PatientsSeen: 41.0
Time point: 2225.0 | PatientsSeen: 42.0
Time point: 2277.0 | PatientsSeen: 43.0
Time point: 2328.0 | PatientsSeen: 44.0
Time point: 2379.0 | PatientsSeen: 45.0
Time point: 2429.0 | PatientsSeen: 46.0
Time point: 2480.0 | PatientsSeen: 47.0
Time point: 2532.0 | PatientsSeen: 48.0
Time point: 2583.0 | PatientsSeen: 49.0
Time point: 2635.0 | PatientsSeen: 50.0
Time point: 2684.0 | PatientsSeen: 51.0
Time point: 2734.0 | PatientsSeen: 52.0
Time point: 2783.0 | PatientsSeen: 53.0
Time point: 2834.0 | PatientsSeen: 54.0
Time point: 2885.0 | PatientsSeen: 55.0
Time point: 2937.0 | PatientsSeen: 56.0
Time point: 2988.0 | PatientsSeen: 57.0
Time point: 3039.0 | PatientsSeen: 58.0
Time point: 3090.0 | PatientsSeen: 59.0
Time point: 3140.0 | PatientsSeen: 60.0
Time point: 3192.0 | PatientsSeen: 61.0
Time point: 3241.0 | PatientsSeen: 62.0
