Time point: 474.0 | PatientsSeen: 1.0
Time point: 602.0 | PatientsSeen: 2.0
Time point: 723.0 | PatientsSeen: 3.0
Time point: 784.0 | PatientsSeen: 4.0
Time point: 1026.0 | PatientsSeen: 5.0
Time point: 1272.0 | PatientsSeen: 6.0
Time point: 1393.0 | PatientsSeen: 7.0
Time point: 1455.0 | PatientsSeen: 8.0
Time point: 1578.0 | PatientsSeen: 9.0
Time point: 1759.0 | PatientsSeen: 10.0
Time point: 1821.0 | PatientsSeen: 11.0
Time point: 1943.0 | PatientsSeen: 12.0
Time point: 2125.0 | PatientsSeen: 13.0
Time point: 2185.0 | PatientsSeen: 14.0
Time point: 2492.0 | PatientsSeen: 15.0
Time point: 2796.0 | PatientsSeen: 16.0
Time point: 3040.0 | PatientsSeen: 17.0
Time point: 3589.0 | PatientsSeen: 18.0
