Time point: 164.0 | PatientsSeen: 1.0
Time point: 202.0 | PatientsSeen: 2.0
Time point: 243.0 | PatientsSeen: 3.0
Time point: 281.0 | PatientsSeen: 4.0
Time point: 320.0 | PatientsSeen: 5.0
Time point: 359.0 | PatientsSeen: 6.0
Time point: 398.0 | PatientsSeen: 7.0
Time point: 446.0 | PatientsSeen: 8.0
Time point: 484.0 | PatientsSeen: 9.0
Time point: 524.0 | PatientsSeen: 10.0
Time point: 564.0 | PatientsSeen: 11.0
Time point: 612.0 | PatientsSeen: 12.0
Time point: 656.0 | PatientsSeen: 13.0
Time point: 693.0 | PatientsSeen: 14.0
Time point: 735.0 | PatientsSeen: 15.0
Time point: 774.0 | PatientsSeen: 16.0
Time point: 813.0 | PatientsSeen: 17.0
Time point: 855.0 | PatientsSeen: 18.0
Time point: 897.0 | PatientsSeen: 19.0
Time point: 943.0 | PatientsSeen: 20.0
Time point: 988.0 | PatientsSeen: 21.0
Time point: 1027.0 | PatientsSeen: 22.0
Time point: 1067.0 | PatientsSeen: 23.0
Time point: 1106.0 | PatientsSeen: 24.0
Time point: 1143.0 | PatientsSeen: 25.0
Time point: 1181.0 | PatientsSeen: 26.0
Time point: 1220.0 | PatientsSeen: 27.0
Time point: 1259.0 | PatientsSeen: 28.0
Time point: 1305.0 | PatientsSeen: 29.0
Time point: 1344.0 | PatientsSeen: 30.0
Time point: 1383.0 | PatientsSeen: 31.0
Time point: 1420.0 | PatientsSeen: 32.0
Time point: 1462.0 | PatientsSeen: 33.0
