Time point: 223.0 | PatientsSeen: 1.0
Time point: 433.0 | PatientsSeen: 2.0
Time point: 643.0 | PatientsSeen: 3.0
Time point: 854.0 | PatientsSeen: 4.0
Time point: 1065.0 | PatientsSeen: 5.0
Time point: 1275.0 | PatientsSeen: 6.0
Time point: 1486.0 | PatientsSeen: 7.0
Time point: 1695.0 | PatientsSeen: 8.0
Time point: 1905.0 | PatientsSeen: 9.0
Time point: 2114.0 | PatientsSeen: 10.0
Time point: 2325.0 | PatientsSeen: 11.0
Time point: 2536.0 | PatientsSeen: 12.0
Time point: 2746.0 | PatientsSeen: 13.0
Time point: 2954.0 | PatientsSeen: 14.0
Time point: 3165.0 | PatientsSeen: 15.0
