Time point: 215.0 | PatientsSeen: 1.0
Time point: 401.0 | PatientsSeen: 2.0
Time point: 587.0 | PatientsSeen: 3.0
Time point: 772.0 | PatientsSeen: 4.0
Time point: 958.0 | PatientsSeen: 5.0
Time point: 1143.0 | PatientsSeen: 6.0
Time point: 1329.0 | PatientsSeen: 7.0
Time point: 1515.0 | PatientsSeen: 8.0
Time point: 1701.0 | PatientsSeen: 9.0
Time point: 1886.0 | PatientsSeen: 10.0
Time point: 2072.0 | PatientsSeen: 11.0
Time point: 2258.0 | PatientsSeen: 12.0
Time point: 2444.0 | PatientsSeen: 13.0
Time point: 2630.0 | PatientsSeen: 14.0
Time point: 2815.0 | PatientsSeen: 15.0
Time point: 3001.0 | PatientsSeen: 16.0
Time point: 3187.0 | PatientsSeen: 17.0
Time point: 3372.0 | PatientsSeen: 18.0
Time point: 3558.0 | PatientsSeen: 19.0
